cluster_id,id,split,label,uci_row_number,text
E0018,H0918,heldout,spam,4629,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
E0019,H0015,heldout,spam,96,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
E0019,H0171,heldout,spam,901,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
E0020,T0098,train,spam,115,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
E0020,T0462,train,spam,565,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm 
E0021,T0099,train,ham,117,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
E0021,T0176,train,ham,208,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
E0021,T0916,train,ham,1135,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
E0022,T0103,train,spam,121,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
E0022,T1681,train,spam,2096,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
E0023,T0115,train,spam,135,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
E0023,T1357,train,spam,1692,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
E0024,T0118,train,ham,139,No no. I will check all rooms befor activities
E0024,T3282,train,ham,4084,No no. I will check all rooms befor activities
E0024,T4074,train,ham,5094,No no. I will check all rooms befor activities
E0025,T0136,train,spam,161,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
E0025,T0994,train,spam,1226,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
E0026,T0145,train,ham,171,Yes :)it completely in out of form:)clark also utter waste.
E0026,T1574,train,ham,1965,Yes :)it completely in out of form:)clark also utter waste.
E0027,T0155,train,ham,181,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
E0027,T2126,train,ham,2645,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
E0027,T3043,train,ham,3777,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
E0028,T0161,train,spam,189,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
E0028,T0811,train,spam,1003,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
E0028,T3230,train,spam,4013,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
E0028,T3252,train,spam,4043,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
E0029,T0166,train,ham,196,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
E0029,T1893,train,ham,2364,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
E0030,H0031,heldout,ham,197,Gud mrng dear hav a nice day
E0030,H0152,heldout,ham,791,Gud mrng dear hav a nice day
E0030,H0727,heldout,ham,3734,Gud mrng dear hav a nice day
E0031,T0167,train,ham,198,Did u got that persons story
E0031,T0535,train,ham,656,Did u got that persons story
E0031,T3725,train,ham,4646,Did u got that persons story
E0032,T0173,train,ham,204,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
E0032,T1179,train,ham,1468,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
E0033,T0185,train,ham,219,Easy ah?sen got selected means its good..
E0033,T0843,train,ham,1044,Easy ah?sen got selected means its good..
E0034,H0038,heldout,ham,235,Yes:)here tv is always available in work place..
E0034,H0732,heldout,ham,3758,Yes:)here tv is always available in work place..
E0035,H0040,heldout,ham,240,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
E0035,H0223,heldout,ham,1165,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
E0035,H0975,heldout,ham,4885,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
E0036,T0201,train,spam,241,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
E0036,T3494,train,spam,4349,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
E0037,T0209,train,spam,251,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
E0037,T0296,train,spam,358,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
E0038,T0210,train,ham,252,Ranjith cal drpd Deeraj and deepak 5min hold
E0038,T3585,train,ham,4466,Ranjith cal drpd Deeraj and deepak 5min hold
E0039,T0211,train,ham,253,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
E0039,T1136,train,ham,1414,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
E0039,T1214,train,ham,1509,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
E0039,T2184,train,ham,2713,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
E0040,T0212,train,ham,254,What you doing?how are you?
E0040,T3312,train,ham,4118,What you doing?how are you?
E0041,T0220,train,ham,262,Yup
E0041,T4377,train,ham,5474,Yup
E0042,T0230,train,spam,274,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
E0042,T1506,train,spam,1877,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
E0042,T3459,train,spam,4297,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
E0043,T0238,train,ham,285,Okie...
E0043,T1877,train,ham,2346,Okie...
E0043,T3415,train,ham,4245,Okie...
E0044,H0048,heldout,ham,290,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
E0044,H0931,heldout,ham,4686,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
E0045,T0247,train,ham,295,Are you this much buzy
E0045,T0781,train,ham,966,Are you this much buzy
E0045,T2204,train,ham,2741,Are you this much buzy
E0046,T0251,train,ham,299,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
E0046,T3463,train,ham,4301,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
E0047,H0049,heldout,ham,300,I cant pick the phone right now. Pls send a message
E0047,H0147,heldout,ham,770,I cant pick the phone right now. Pls send a message
E0047,H0252,heldout,ham,1305,I cant pick the phone right now. Pls send a message
E0047,H0347,heldout,ham,1739,I cant pick the phone right now. Pls send a message
E0047,H0387,heldout,ham,1950,I cant pick the phone right now. Pls send a message
E0047,H0459,heldout,ham,2267,I cant pick the phone right now. Pls send a message
E0047,H0518,heldout,ham,2619,I cant pick the phone right now. Pls send a message
E0047,H0717,heldout,ham,3682,I cant pick the phone right now. Pls send a message
E0047,H0791,heldout,ham,4041,I cant pick the phone right now. Pls send a message
E0047,H0923,heldout,ham,4661,I cant pick the phone right now. Pls send a message
E0047,H0979,heldout,ham,4899,I cant pick the phone right now. Pls send a message
E0047,H1079,heldout,ham,5378,I cant pick the phone right now. Pls send a message
E0048,T0259,train,ham,312,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
E0048,T1265,train,ham,1570,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
E0048,T3145,train,ham,3916,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
E0049,T0266,train,spam,320,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
E0049,H0548,heldout,spam,2809,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 
E0049,T4368,train,spam,5463,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
E0050,T0282,train,ham,339,Just sleeping..and surfing
E0050,T0628,train,ham,776,Just sleeping..and surfing
E0050,T4432,train,ham,5542,Just sleeping..and surfing
E0051,T0289,train,ham,347,Gudnite....tc...practice going on
E0051,T0437,train,ham,534,Gudnite....tc...practice going on
E0052,T0293,train,ham,354,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
E0052,T2548,train,ham,3166,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
E0053,T0317,train,spam,386,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
E0053,T3378,train,spam,4197,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
E0054,H0071,heldout,spam,390,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
E0054,H0408,heldout,spam,2045,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
E0055,T0338,train,ham,411,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
E0055,T0922,train,ham,1141,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
E0056,T0342,train,ham,417,Whatsup there. Dont u want to sleep
E0056,T2194,train,ham,2729,Whatsup there. Dont u want to sleep
E0057,T0352,train,ham,428,aathi..where are you dear..
E0057,T2293,train,ham,2844,aathi..where are you dear..
E0057,T2804,train,ham,3472,aathi..where are you dear..
E0058,T0355,train,ham,431,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
E0058,T1588,train,ham,1985,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
E0058,T4083,train,ham,5108,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
E0059,T0356,train,spam,434,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
E0059,T3354,train,spam,4170,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
E0060,T0364,train,ham,442,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
E0060,T0812,train,ham,1004,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
E0061,T0374,train,spam,456,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
E0061,T1429,train,spam,1781,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
E0061,T2420,train,spam,3010,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
E0062,H0086,heldout,ham,478,Love you aathi..love u lot..
E0062,H0460,heldout,ham,2278,Love you aathi..love u lot..
E0062,H0780,heldout,ham,3967,Love you aathi..love u lot..
E0063,T0398,train,spam,488,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
E0063,T2670,train,spam,3317,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
E0064,T0402,train,ham,494,"Sorry,in meeting I'll call later"
E0064,T2340,train,ham,2913,"Sorry,in meeting I'll call later"
E0065,T0410,train,ham,502,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
E0065,T1173,train,ham,1460,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
E0065,T1379,train,ham,1722,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
E0066,T0413,train,spam,506,+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
E0066,T1703,train,spam,2125,+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
E0067,T0415,train,ham,511,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
E0067,T0634,train,ham,782,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
E0067,T1000,train,ham,1237,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
E0067,T4196,train,ham,5239,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
E0068,T0416,train,ham,513,Prabha..i'm soryda..realy..frm heart i'm sory
E0068,T1774,train,ham,2217,Prabha..i'm soryda..realy..frm heart i'm sory
E0068,T4187,train,ham,5229,Prabha..i'm soryda..realy..frm heart i'm sory
E0069,T0426,train,ham,523,Shall i come to get pickle
E0069,T1598,train,ham,1997,Shall i come to get pickle
E0070,T0431,train,spam,528,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X"
E0070,T0688,train,spam,851,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X"
E0071,T0436,train,ham,533,What Today-sunday..sunday is holiday..so no work..
E0071,T2488,train,ham,3091,What Today-sunday..sunday is holiday..so no work..
E0071,T4381,train,ham,5480,What Today-sunday..sunday is holiday..so no work..
E0072,T0442,train,ham,540,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
E0072,T1012,train,ham,1252,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
E0072,T3858,train,ham,4816,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
E0073,T0483,train,ham,591,"I'm in a meeting, call me later at"
E0073,T2734,train,ham,3393,"I'm in a meeting, call me later at"
E0073,T3715,train,ham,4634,"I'm in a meeting, call me later at"
E0074,H0109,heldout,spam,592,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
E0074,H0911,heldout,spam,4585,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
E0075,T0489,train,spam,599,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
E0075,T3143,train,spam,3914,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
E0076,T0515,train,spam,631,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.
E0076,T3913,train,spam,4889,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.
E0077,H0117,heldout,ham,641,I had askd u a question some hours before. Its answer
E0077,H0395,heldout,ham,1975,I had askd u a question some hours before. Its answer
E0077,H0749,heldout,ham,3835,I had askd u a question some hours before. Its answer
E0078,T0526,train,ham,645,Ya very nice. . .be ready on thursday
E0078,T3802,train,ham,4744,Ya very nice. . .be ready on thursday
E0079,T0528,train,ham,647,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
E0079,T0780,train,ham,964,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
E0079,T3900,train,ham,4870,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
E0080,T0541,train,ham,662,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '"
E0080,T2061,train,ham,2566,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '"
E0081,T0546,train,ham,670,Have a good evening! Ttyl
E0081,T0669,train,ham,826,Have a good evening! Ttyl
E0082,T0575,train,ham,712,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence.."
E0082,T2385,train,ham,2973,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence.."
E0083,T0579,train,ham,716,He also knows about lunch menu only da. . I know
E0083,T0968,train,ham,1199,He also knows about lunch menu only da. . I know
E0084,T0620,train,ham,766,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance.."
E0084,T1334,train,ham,1656,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance.."
E0084,T2443,train,ham,3041,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance.."
E0085,H0154,heldout,ham,800,Ok i msg u b4 i leave my house.
E0085,H0872,heldout,ham,4422,Ok i msg u b4 i leave my house.
E0086,T0648,train,spam,802,"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16"
E0086,T2319,train,spam,2882,"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16"
