cluster_id,cluster_size,member_ids,splits,labels,is_cross_split,has_label_conflict,normalized_text
E0061,3,T0374|T1429|T2420,train,spam,False,False,"loan for any purpose £500 - £75,000. homeowners + tenants welcome. have you been previously refused? we can still help. call free 0800 1956669 or text back 'help'"
E0062,3,H0086|H0460|H0780,heldout,ham,False,False,love you aathi..love u lot..
E0063,2,T0398|T2670,train,spam,False,False,"free message activate your 500 free text messages by replying to this message with the word free for terms & conditions, visit www.07781482378.com"
E0064,2,T0402|T2340,train,ham,False,False,"sorry,in meeting i'll call later"
E0065,3,T0410|T1173|T1379,train,ham,False,False,"fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
E0066,2,T0413|T1703,train,spam,False,False,+123 congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. t&cs/stop sms 08718727868. over 18 only 150ppm
E0067,4,T0415|T0634|T1000|T4196,train,ham,False,False,your opinion about me? 1. over 2. jada 3. kusruthi 4. lovable 5. silent 6. spl character 7. not matured 8. stylish 9. simple pls reply..
E0068,3,T0416|T1774|T4187,train,ham,False,False,prabha..i'm soryda..realy..frm heart i'm sory
E0069,2,T0426|T1598,train,ham,False,False,shall i come to get pickle
E0070,2,T0431|T0688,train,spam,False,False,"today's offer! claim ur £150 worth of discount vouchers! text yes to 85023 now! savamob, member offers mobile! t cs 08717898035. £3.00 sub. 16 . unsub reply x"
E0071,3,T0436|T2488|T4381,train,ham,False,False,what today-sunday..sunday is holiday..so no work..
E0072,3,T0442|T1012|T3858,train,ham,False,False,ummmmmaah many many happy returns of d day my dear sweet heart.. happy birthday dear
E0073,3,T0483|T2734|T3715,train,ham,False,False,"i'm in a meeting, call me later at"
E0074,2,H0109|H0911,heldout,spam,False,False,"for ur chance to win a £250 wkly shopping spree txt: shop to 80878. t's&c's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
E0075,2,T0489|T3143,train,spam,False,False,you have an important customer service announcement. call freephone 0800 542 0825 now!
E0076,2,T0515|T3913,train,spam,False,False,todays vodafone numbers ending with 4882 are selected to a receive a £350 award. if your number matches call 09064019014 to receive your £350 award.
E0077,3,H0117|H0395|H0749,heldout,ham,False,False,i had askd u a question some hours before. its answer
E0078,2,T0526|T3802,train,ham,False,False,ya very nice. . .be ready on thursday
E0079,3,T0528|T0780|T3900,train,ham,False,False,"watching cartoon, listening music &amp; at eve had to go temple &amp; church.. what about u?"
E0080,2,T0541|T2061,train,ham,False,False,"under the sea, there lays a rock. in the rock, there is an envelope. in the envelope, there is a paper. on the paper, there are 3 words... '"
E0081,2,T0546|T0669,train,ham,False,False,have a good evening! ttyl
E0082,2,T0575|T2385,train,ham,False,False,"height of confidence: all the aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. aftr they sat they wer told dat the plane ws made by their students. dey all hurried out of d plane.. bt only 1 didnt move... he said:""if it is made by my students,this wont even start........ datz confidence.."
E0083,2,T0579|T0968,train,ham,False,False,he also knows about lunch menu only da. . i know
E0084,3,T0620|T1334|T2443,train,ham,False,False,"wishing you and your family merry ""x"" mas and happy new year in advance.."
E0085,2,H0154|H0872,heldout,ham,False,False,ok i msg u b4 i leave my house.
E0086,2,T0648|T2319,train,spam,False,False,"last chance! claim ur £150 worth of discount vouchers today! text shop to 85023 now! savamob, offers mobile! t cs savamob pobox84, m263uz. £3.00 sub. 16"
E0087,2,T0650|T4113,train,spam,False,False,free for 1st week! no1 nokia tone 4 ur mobile every week just txt nokia to 8077 get txting and tell ur mates. www.getzed.co.uk pobox 36504 w45wq 16+ norm150p/tone
E0088,3,T0671|T4252|T4444,train,ham,False,False,hahaha..use your brain dear
E0089,2,H0159|H0586,heldout,spam,False,False,u have a secret admirer. reveal who thinks u r so special. call 09065174042. to opt out reply reveal stop. 1.50 per msg recd. cust care 07821230901
E0090,2,T0677|T2608,train,ham,False,False,good morning my dear........... have a great &amp; successful day.
E0091,2,T0683|H0909,heldout|train,spam,True,False,"urgent! call 09066350750 from your landline. your complimentary 4* ibiza holiday or 10,000 cash await collection sae t&cs po box 434 sk3 8wp 150 ppm 18+"
E0092,2,H0169|H0435,heldout,spam,False,False,"shop till u drop, is it you, either 10k, 5k, £500 cash or £100 travel voucher, call now, 09064011000. ntt po box cr01327bt fixedline cost 150ppm mobile vary"
E0093,2,H0170|H0515,heldout,spam,False,False,sunshine quiz wkly q! win a top sony dvd player if u know which country liverpool played in mid week? txt ansr to 82277. £1.50 sp:tyrone
E0094,3,T0721|T2280|T2596,train,ham,False,False,wife.how she knew the time of murder exactly
E0095,2,T0728|T3646,train,ham,False,False,hope you are having a good week. just checking in
E0096,2,T0745|T2549,train,ham,False,False,"when people see my msgs, they think iam addicted to msging... they are wrong, bcoz they don\'t know that iam addicted to my sweet friends..!! bslvyl"
E0097,2,T0773|T1704,train,ham,False,False,"beautiful truth against gravity.. read carefully: ""our heart feels light when someone is in it.. but it feels very heavy when someone leaves it.."" good night"
E0098,2,H0183|H0590,heldout,ham,False,False,"love isn't a decision, it's a feeling. if we could decide who to love, then, life would be much simpler, but then less magical"
E0099,2,T0779|T2801,train,spam,False,False,urgent! we are trying to contact u. todays draw shows that you have won a £800 prize guaranteed. call 09050001808 from land line. claim m95. valid12hrs only
E0100,2,H0186|H0541,heldout,ham,False,False,i am not sure about night menu. . . i know only about noon menu
E0101,2,H0189|H0426,heldout,ham,False,False,if he started searching he will get job in few days.he have great potential and talent.
E0102,2,T0804|T1862,train,ham,False,False,the xmas story is peace.. the xmas msg is love.. the xmas miracle is jesus.. hav a blessed month ahead &amp; wish u merry xmas...
E0103,3,H0196|H0733|H0821,heldout,spam,False,False,free for 1st week! no1 nokia tone 4 ur mob every week just txt nokia to 8007 get txting and tell ur mates www.getzed.co.uk pobox 36504 w45wq norm150p/tone 16+
E0104,2,H0198|H0360,heldout,ham,False,False,may i call you later pls
E0105,2,T0840|T4042,train,ham,False,False,"edison has rightly said, ""a fool can ask more questions than a wise man can answer"" now you know why all of us are speechless during viva.. gm,gn,ge,gnt:-)"
E0106,2,T0847|T3151,train,ham,False,False,"do 1 thing! change that sentence into: ""because i want 2 concentrate in my educational career im leaving here.."""
E0107,2,T0850|T2189,train,spam,False,False,18 days to euro2004 kickoff! u will be kept informed of all the latest news and results daily. unsubscribe send get euro stop to 83222.
E0108,3,T0856|T1741|T4308,train,ham,False,False,i'm at work. please call
E0109,2,T0859|T2458,train,spam,False,False,eastenders tv quiz. what flower does dot compare herself to? d= violet e= tulip f= lily txt d e or f to 84025 now 4 chance 2 win £100 cash wkent/150p16+
E0110,2,H0204|H0702,heldout,ham,False,False,meeting u is my work. . . tel me when shall i do my work tomorrow
E0111,2,T0866|T3470,train,spam,False,False,someone u know has asked our dating service 2 contact you! cant guess who? call 09058091854 now all will be revealed. po box385 m6 6wu
E0112,3,T0876|T1093|T3918,train,ham,False,False,convey my regards to him
E0113,3,T0880|T1468|T2524,train,ham,False,False,wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
E0114,2,T0884|T4421,train,spam,False,False,you are awarded a sipix digital camera! call 09061221061 from landline. delivery within 28days. t cs box177. m221bp. 2yr warranty. 150ppm. 16 . p p£3.99
E0115,2,T0889|T3408,train,ham,False,False,now only i reached home. . . i am very tired now. . i will come tomorro
E0116,3,T0909|T2987|T4311,train,ham,False,False,ok.ok ok..then..whats ur todays plan
E0117,2,H0216|H0219,heldout,ham,False,False,good morning princess! how are you?
E0118,3,T0924|T1936|T2206,train,spam,False,False,i don't know u and u don't know me. send chat to 86688 now and let's find each other! only 150p/msg rcvd. hg/suite342/2lands/row/w1j6hl ldn. 18 years or over.
E0119,3,T0941|T4391|T4393,train,ham,False,False,k. i will sent it again
E0120,2,H0224|H0849,heldout,ham,False,False,i am not having her number sir
E0121,2,H0225|H0458,heldout,ham,False,False,ok . . now i am in bus. . if i come soon i will come otherwise tomorrow
E0122,2,T0948|T3947,train,spam,False,False,"got what it takes 2 take part in the wrc rally in oz? u can with lucozade energy! text rally le to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!"
E0123,2,T0970|T2381,train,ham,False,False,neft transaction with reference number &lt;#&gt; for rs. &lt;decimal&gt; has been credited to the beneficiary account on &lt;#&gt; at &lt;time&gt; : &lt;#&gt;
E0124,3,H0232|H0769|H1089,heldout,ham,False,False,otherwise had part time job na-tuition..
E0125,2,T0974|T1846,train,spam,False,False,win a year supply of cds 4 a store of ur choice worth £500 & enter our £100 weekly draw txt music to 87066 ts&cs www.ldew.com.subs16+1win150ppmx3
E0126,2,T0981|T3301,train,ham,False,False,ok then i will come to ur home after half an hour
E0127,2,T0986|T2631,train,spam,False,False,you have 1 new voicemail. please call 08719181513.
E0128,2,T0988|T2060,train,ham,False,False,k..k..i'm also fine:)when will you complete the course?
E0129,2,T0990|T1112,train,spam,False,False,no. 1 nokia tone 4 ur mob every week! just txt nok to 87021. 1st tone free ! so get txtin now and tell ur friends. 150p/tone. 16 reply hl 4info
E0130,2,T1020|T4039,train,ham,False,False,"we have sent jd for customer service cum accounts executive to ur mail id, for details contact us"
E0131,2,T1025|T2415,train,ham,False,False,i will see in half an hour
E0132,10,T1032|T1065|T1146|T1192|T1364|T1858|T2017|T2137|T2539|T3892,train,ham,False,False,ok...
E0133,3,T1037|T2666|T3719,train,ham,False,False,oh ho. is this the first time u use these type of words
E0134,2,T1038|T3329,train,ham,False,False,"ever green quote ever told by jerry in cartoon ""a person who irritates u always is the one who loves u vry much but fails to express it...!..!! :-) :-) gud nyt"
E0135,3,T1041|T2807|T3496,train,ham,False,False,"night has ended for another day, morning has come in a special way. may you smile like the sunny rays and leaves your worries at the blue blue bay. gud mrng"
E0136,3,T1076|T1519|T1787,train,ham,False,False,good morning plz call me sir
E0137,2,T1089|T1693,train,spam,False,False,"free2day sexy st george's day pic of jordan!txt pic to 89080 dont miss out, then every wk a saucy celeb!4 more pics c pocketbabe.co.uk 0870241182716 £3/wk"
E0138,2,H0266|H0620,heldout,spam,False,False,"hot live fantasies call now 08707509020 just 20p per min ntt ltd, po box 1327 croydon cr9 5wb 0870..k"
E0139,3,T1107|T1731|T1876,train,ham,False,False,"1) go to write msg 2) put on dictionary mode 3)cover the screen with hand, 4)press &lt;#&gt; . 5)gently remove ur hand.. its interesting..:)"
E0140,2,H0268|H1010,heldout,spam,False,False,double mins & double txt & 1/2 price linerental on latest orange bluetooth mobiles. call mobileupd8 for the very latest offers. 08000839402 or call2optout/lf56
E0141,2,T1113|T1992,train,ham,False,False,i dnt wnt to tlk wid u
E0142,3,H0270|H0881|H1054,heldout,ham,False,False,"storming msg: wen u lift d phne, u say ""hello"" do u knw wt is d real meaning of hello?? . . . it's d name of a girl..! . . . yes.. and u knw who is dat girl?? ""margaret hello"" she is d girlfrnd f grahmbell who invnted telphone... . . . . moral:one can 4get d name of a person, bt not his girlfrnd... g o o d n i g h t . . .@"
E0143,2,T1126|T1128,train,ham,False,False,you have registered sinco as payee. log in at icicibank.com and enter urn &lt;#&gt; to confirm. beware of frauds. do not share or disclose urn to anyone.
E0144,2,T1135|T3222,train,ham,False,False,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
E0145,3,T1169|T2965|T3615,train,ham,False,False,stupid.its not possible
E0146,4,T1181|T1428|T2394|T3653,train,ham,False,False,"7 wonders in my world 7th you 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sms and 1st ""ur lovely friendship""... good morning dear"
E0147,2,T1185|T3208,train,ham,False,False,"friendship is not a game to play, it is not a word to say, it doesn\'t start on march and ends on may, it is tomorrow, yesterday, today and e"
E0148,2,T1193|T2254,train,ham,False,False,purity of friendship between two is not about smiling after reading the forwarded message..its about smiling just by seeing the name. gud evng musthu
E0149,2,T1209|T2403,train,spam,False,False,"hot live fantasies call now 08707509020 just 20p per min ntt ltd, po box 1327 croydon cr9 5wb 0870 is a national rate call"
E0150,2,T1210|T3766,train,ham,False,False,don no da:)whats you plan?
E0151,3,T1238|T1848|T2960,train,spam,False,False,you have won a nokia 7250i. this is what you get when you win our free auction. to take part send nokia to 86021 now. hg/suite342/2lands row/w1jhl 16+
E0152,2,T1244|T4299,train,ham,False,False,do u konw waht is rael friendship im gving yuo an exmpel: jsut ese tihs msg.. evrey splleing of tihs msg is wrnog.. bt sitll yuo can raed it wihtuot ayn mitsake.. goodnight &amp; have a nice sleep..sweet dreams..
E0153,2,T1253|T2309,train,ham,False,False,he says hi and to get your ass back to south tampa (preferably at a kegger)
E0154,2,T1259|T3053,train,ham,False,False,wat r u doing?
E0155,2,T1260|T2863,train,ham,False,False,"single line with a big meaning::::: ""miss anything 4 ur ""best life"" but, don't miss ur best life for anything... gud nyt..."
E0156,3,T1263|T3427|T4180,train,ham,False,False,i am late. i will be there at
E0157,2,T1267|T2815,train,ham,False,False,no:-)i got rumour that you going to buy apartment in chennai:-)
E0158,2,T1279|T1434,train,ham,False,False,"dont search love, let love find u. thats why its called falling in love, bcoz u dont force yourself, u just fall and u know there is smeone to hold u... bslvyl"
E0159,2,T1286|T3637,train,ham,False,False,never blame a day in ur life. good days give u happiness. bad days give u experience. both are essential in life! all are gods blessings! good morning.:
E0160,2,H0311|H0945,heldout,spam,False,False,urgent! your mobile number has been awarded with a £2000 prize guaranteed. call 09061790121 from land line. claim 3030. valid 12hrs only 150ppm
E0161,2,T1293|T3276,train,ham,False,False,"god picked up a flower and dippeditinadew, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,this friend is 4u"
E0162,2,H0316|H0804,heldout,spam,False,False,u have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09058094599
E0163,2,T1311|T3941,train,ham,False,False,hi dear call me its urgnt. i don't know whats your problem. you don't want to work or if you have any other problem at least tell me. wating for your reply.
E0164,2,T1319|H0412,heldout|train,spam,True,False,"eerie nokia tones 4u, rply tone title to 8007 eg tone dracula to 8007 titles: ghost, addamsfa, munsters, exorcist, twilight www.getzed.co.uk pobox36504w45wq 150p"
E0165,2,T1330|T2788,train,ham,False,False,i dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
E0166,2,T1349|T3828,train,ham,False,False,"so many people seems to be special at first sight, but only very few will remain special to you till your last sight.. maintain them till life ends.. sh!jas"
E0167,2,T1356|T2986,train,spam,False,False,free top ringtone -sub to weekly ringtone-get 1st week free-send subpoly to 81618-?3 per week-stop sms-08718727870
E0168,2,T1359|T3038,train,ham,False,False,was gr8 to see that message. so when r u leaving? congrats dear. what school and wat r ur plans.
E0169,2,T1376|T2537,train,spam,False,False,hard live 121 chat just 60p/min. choose your girl and connect live. call 09094646899 now! cheap chat uk's biggest live service. vu bcm1896wc1n3xx
E0170,2,T1386|T4409,train,ham,False,False,i went to project centre
E0171,2,H0344|H0706,heldout,ham,False,False,as per your request 'maangalyam (alaipayuthe)' has been set as your callertune for all callers. press *9 to copy your friends callertune
E0172,2,H0346|H0822,heldout,ham,False,False,i will come tomorrow di
E0173,2,T1394|T2557,train,spam,False,False,ur going 2 bahamas! callfreefone 08081560665 and speak to a live operator to claim either bahamas cruise of£2000 cash 18+only. to opt out txt x to 07786200117
E0174,2,T1414|T2025,train,ham,False,False,joy's father is john. then john is the name of joy's father. mandan
E0175,2,T1415|T2892,train,spam,False,False,hi 07734396839 ibh customer loyalty offer: the new nokia6600 mobile from only £10 at txtauction!txt word:start to no:81151 & get yours now!4t&
E0176,2,T1422|T1507,train,ham,False,False,watching tv now. i got new job :)
E0177,2,T1427|T3796,train,spam,False,False,buy space invaders 4 a chance 2 win orig arcade game console. press 0 for games arcade (std wap charge) see o2.co.uk/games 4 terms + settings. no purchase
E0178,3,T1432|T2516|T3783,train,ham,False,False,my uncles in atlanta. wish you guys a great semester.
E0179,3,T1436|T2305|T3523,train,ham,False,False,"do you know why god created gap between your fingers..? so that, one who is made for you comes &amp; fills those gaps by holding your hand with love..!"
E0180,2,T1437|T4365,train,ham,False,False,arun can u transfr me d amt
E0181,2,T1441|T3768,train,spam,False,False,"win: we have a winner! mr. t. foley won an ipod! more exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
E0182,2,H0359|H1061,heldout,ham,False,False,sent me ur email id soon
E0183,4,T1493|T2031|T2223|T2266,train,ham,False,False,"say this slowly.? god,i love you &amp; i need you,clean my heart with your blood.send this to ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
E0184,3,T1510|T2614|T3498,train,ham,False,False,"sorry, i can't help you on this."
E0185,2,T1513|T4019,train,spam,False,False,dear 0776xxxxxxx u've been invited to xchat. this is our final attempt to contact u! txt chat to 86688 150p/msgrcvdhg/suite342/2lands/row/w1j6hl ldn 18yrs
E0186,2,H0378|H0610,heldout,spam,False,False,free entry in 2 a weekly comp for a chance to win an ipod. txt pod to 80182 to get entry (std txt rate) t&c's apply 08452810073 for details 18+
E0187,4,T1545|T2453|T3609|T4284,train,ham,False,False,ok
E0188,2,T1553|T3734,train,ham,False,False,hope you are having a great day.
E0189,2,T1558|T3462,train,spam,False,False,"well done! your 4* costa del sol holiday or £5000 await collection. call 09050090044 now toclaim. sae, tcs, pobox334, stockport, sk38xh, cost£1.50/pm, max10mins"
E0190,2,T1559|T1568,train,ham,False,False,k...k:)why cant you come here and search job:)
E0191,3,T1570|T2282|T2566,train,ham,False,False,howz that persons story
E0192,3,T1575|T2656|T3661,train,ham,False,False,"honeybee said: *i'm d sweetest in d world* god laughed &amp; said: *wait,u havnt met d person reading this msg* moral: even god can crack jokes! gm+gn+ge+gn:)"
E0193,2,T1612|T2747,train,ham,False,False,"beautiful truth against gravity.. read carefully: ""our heart feels light when someone is in it.. but it feels very heavy when someone leaves it.."" goodmorning"
E0194,2,H0403|H0987,heldout,spam,False,False,great news! call freefone 08006344447 to claim your guaranteed £1000 cash or £2000 gift. speak to a live operator now!
E0195,2,T1661|T2744,train,ham,False,False,good night my dear.. sleepwell&amp;take care
E0196,2,T1675|T3680,train,spam,False,False,well done england! get the official poly ringtone or colour flag on yer mobile! text tone or flag to 84199 now! opt-out txt eng stop. box39822 w111wx £1.50
E0197,2,T1680|T1988,train,spam,False,False,"final chance! claim ur £150 worth of discount vouchers today! text yes to 85023 now! savamob, member offers mobile! t cs savamob pobox84, m263uz. £3.00 subs 16"
E0198,2,T1697|T1718,train,spam,False,False,"sunshine hols. to claim ur med holiday send a stamped self address envelope to drinks on us uk, po box 113, bray, wicklow, eire. quiz starts saturday! unsub stop"
E0199,2,H0422|H0829,heldout,spam,False,False,"u can win £100 of music gift vouchers every week starting now txt the word draw to 87066 tscs www.idew.com skillgame, 1winaweek, age16. 150ppermesssubscription"
E0200,3,H0423|H0605|H0933,heldout,ham,False,False,tessy..pls do me a favor. pls convey my birthday wishes to nimya..pls dnt forget it. today is her birthday shijas
