id,split,public_label,proposed_label,decision,confidence,signal_count,opposition_strength,reason
T2055,train,spam,spam,keep_but_flag,medium,3,0.8778,"""brought to you by GMW Ltd."" is a bulk-advertising footer, although the row is truncated."
T0592,train,spam,spam,keep_but_flag,medium,3,0.7412,"Prescription-drug advert disguised as an email alert; ""call 123"" carries no tariff."
T2229,train,spam,spam,keep_but_flag,medium,2,0.8258,Burger King promotion. A lawful advertiser still sends unsolicited commercial broadcast; there is no consent story available.
T2273,train,spam,spam,keep_but_flag,medium,2,0.7438,Interflora order deadline promotion with an 0800 number; unsolicited commercial broadcast.
H0330,heldout,spam,spam,keep_but_flag,medium,3,0.7379,WAP password notice bound to a subscription service at mobsi.com.
T1505,train,spam,spam,keep_but_flag,low,2,0.9515,Explicit adult-image solicitation.
T3105,train,spam,spam,keep_but_flag,low,2,0.9103,"""cst std ntwk chg"" plus GBP1.50 is a tariff disclosure."
T2793,train,spam,spam,keep_but_flag,medium,2,0.9629,"Explicit content with a number and the Nikiyu4.net domain implying a commercial adult service, though no price is stated."
T3963,train,spam,spam,keep_but_flag,medium,2,0.8933,Promises later access to adult parties; solicitation without tariff disclosure.
T1926,train,spam,spam,keep_but_flag,low,2,0.8972,"""Txt XXX SLO(4msgs)"" is a standard paid adult-SMS instruction."
T2521,train,spam,spam,keep_but_flag,low,2,0.7904,Charge confirmation plus an upsell to send more paid content.
T3864,train,spam,spam,keep_but_flag,medium,2,0.8117,Adult site with credentials; content evidence is clear but no price is quoted.
T3947,train,spam,spam,keep_but_flag,low,2,0.7235,Lucozade competition with a shortcode and 25p tariff.
T0948,train,spam,spam,keep_but_flag,low,2,0.7235,Exact duplicate text of T3947.
T3015,train,spam,spam,keep_but_flag,low,2,0.9003,Fragment 2/2 with a 150p tariff token; text is unreadable but all five neighbours are spam.
T1557,train,spam,spam,keep_but_flag,low,2,0.7228,Dogging solicitation with a premium number and per-minute tariff.
T0006,train,spam,spam,keep_but_flag,low,2,0.7265,Flirtatious packaging with explicit send and receive charges.
T3202,train,spam,spam,keep_but_flag,medium,2,0.8279,Ringtone shortcode fragment; all five neighbours are spam.
T3926,train,spam,spam,keep_but_flag,medium,2,0.6639,Cinema promotion with a shortcode and a reply keyword for more offers.
T0935,train,spam,spam,keep_but_flag,low,1,0.5074,Explicit solicitation with shortcode and per-message tariff.
T3511,train,spam,spam,keep_but_flag,low,1,0.5024,Premium quiz format with a reply shortcode.
T0660,train,spam,spam,keep_but_flag,low,1,0.5189,Auction outbid notification with an opt-out keyword; standard bulk service spam.
H0146,heldout,spam,spam,keep_but_flag,low,1,0.4773,Travel promotion with price and booking number.
T0712,train,spam,spam,keep_but_flag,medium,1,0.5155,Paid-content reminder; automated bulk service message.
H0151,heldout,spam,spam,keep_but_flag,low,1,0.5352,Dating enrolment with a 100p per SMS tariff.
T2259,train,spam,spam,keep_but_flag,low,1,0.4484,Ringtone advertisement fragment with a reply keyword.
H0181,heldout,spam,spam,keep_but_flag,low,2,0.4654,Same enrolment pattern as H0151 with a 150p tariff.
H0944,heldout,spam,spam,keep_but_flag,medium,1,0.5055,Weekly ringtone subscription notification.
H1024,heldout,spam,spam,keep_but_flag,medium,1,0.4796,Bulk content promotion with a download link.
H0801,heldout,spam,spam,keep_but_flag,medium,1,0.4902,Loan advertisement with a company name and phone number.
T3592,train,spam,spam,keep_but_flag,low,1,0.5289,Explicit adult line with a per-minute tariff.
T1363,train,spam,spam,keep_but_flag,medium,1,0.3928,Subscription top-up notice; automated bulk message.
T0433,train,spam,spam,keep_but_flag,medium,1,0.5471,Ringtone delivery confirmation with terms-and-conditions pointer.
T3811,train,spam,spam,keep_but_flag,low,1,0.4636,Cash giveaway promotion with a site address.
T4301,train,spam,spam,keep_but_flag,medium,1,0.6017,Auction bid notice with an opt-out keyword and customer-care number.
T1427,train,spam,spam,keep_but_flag,medium,1,0.4168,WAP game promotion with charge notice and terms.
T3796,train,spam,spam,keep_but_flag,medium,1,0.4168,Exact duplicate text of T1427.
T1884,train,spam,spam,keep_but_flag,medium,1,0.6396,Ringtone subscription advert with a shortcode and GBP3 charge.
T2824,train,spam,spam,keep_but_flag,low,1,0.5361,Stock pump-and-dump promotion.
T4097,train,spam,spam,keep_but_flag,low,1,0.5134,"""PRIVATE! Your account statement"" is a standard spam opener."
T0047,train,spam,spam,keep_but_flag,medium,2,0.5145,Sports quiz subscription with a reply keyword.
T0845,train,spam,spam,keep_but_flag,low,1,0.5253,Premium-number secret-admirer scam with a 150p tariff.
T4033,train,spam,spam,keep_but_flag,low,1,0.4742,Subscription advert with an 18p per text charge.
T0341,train,spam,spam,keep_but_flag,low,1,0.4718,Dating line with a premium number.
H0287,heldout,spam,spam,keep_but_flag,low,1,0.5411,Adult chat line with an explicit per-minute tariff.
T4431,train,spam,spam,keep_but_flag,low,1,0.3764,Same explicit adult line as T3592 with a PO box added.
T0255,train,spam,spam,keep_but_flag,medium,2,0.5246,Blind-date service broadcast with an opt-out keyword. The two models did not disagree; only the neighbourhood was mixed.
