heldout_id,train_id,match_type,primary_similarity,word_similarity,char_similarity,label,cluster_id,manual_decision,manual_confidence,manual_reason
H0821,T4113,near,0.9254319048020464,0.8345198806522718,0.9254319048020464,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0440,T1558,near,0.9232009124035092,0.8580915647424028,0.9232009124035092,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0815,T1558,near,0.9232009124035092,0.8580915647424028,0.9232009124035092,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0440,T3462,near,0.9232009124035092,0.8580915647424028,0.9232009124035092,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0815,T3462,near,0.9232009124035092,0.8580915647424028,0.9232009124035092,spam,,accepted,high,"Accepted: distinctive message template is preserved with only minor formatting, entity, number, or wording changes."
H0031,T0488,near,0.9227336540787048,0.6793876955545233,0.9227336540787048,ham,,accepted,medium,"Accepted with medium confidence: similarity meets the public threshold, but the message is short or less distinctive."
H0152,T0488,near,0.9227336540787048,0.6793876955545233,0.9227336540787048,ham,,accepted,medium,"Accepted with medium confidence: similarity meets the public threshold, but the message is short or less distinctive."
H0727,T0488,near,0.9227336540787048,0.6793876955545233,0.9227336540787048,ham,,accepted,medium,"Accepted with medium confidence: similarity meets the public threshold, but the message is short or less distinctive."
H0470,T0558,near,0.9227226254852668,0.9227226254852668,0.7372684570771587,spam,,accepted,medium,"Accepted with medium confidence: similarity meets the public threshold, but the message is short or less distinctive."
H0329,T2871,near,0.922325173320112,0.922325173320112,0.7719817690205604,spam,,accepted,medium,"Accepted with medium confidence: similarity meets the public threshold, but the message is short or less distinctive."
H0266,T1209,near,0.922246876533917,0.922246876533917,0.8787692233598288,spam,,accepted,medium,"Accepted with medium confidence: similarity meets the public threshold, but the message is short or less distinctive."
H0266,T2403,near,0.922246876533917,0.922246876533917,0.8787692233598288,spam,,accepted,medium,"Accepted with medium confidence: similarity meets the public threshold, but the message is short or less distinctive."
H0620,T1209,near,0.922246876533917,0.922246876533917,0.8787692233598288,spam,,accepted,medium,"Accepted with medium confidence: similarity meets the public threshold, but the message is short or less distinctive."
H0620,T2403,near,0.922246876533917,0.922246876533917,0.8787692233598288,spam,,accepted,medium,"Accepted with medium confidence: similarity meets the public threshold, but the message is short or less distinctive."
H0973,T0140,near,0.9217824646544376,0.9217824646544376,0.7092141069309835,spam,,accepted,medium,"Accepted with medium confidence: similarity meets the public threshold, but the message is short or less distinctive."
H0373,T0201,near,0.9209533428520352,0.9209533428520352,0.8562009574472261,spam,,accepted,medium,"Accepted with medium confidence: similarity meets the public threshold, but the message is short or less distinctive."
H0373,T3494,near,0.9209533428520352,0.9209533428520352,0.8562009574472261,spam,,accepted,medium,"Accepted with medium confidence: similarity meets the public threshold, but the message is short or less distinctive."
H0373,T3676,near,0.9209533428520352,0.9209533428520352,0.6824814833981716,spam,,accepted,medium,"Accepted with medium confidence: similarity meets the public threshold, but the message is short or less distinctive."
