id,split,issue_type,rank,confidence,evidence_1,evidence_2,recommended_action,short_explanation
T3460,train,near_duplicate,11,medium,Accepted near pair(s) N0101|N0164|N0315|N0388 with max cosine 1.0000,Manual review category=same_spam_campaign_template; partner sample(s)=H0470; cross_split=True,keep_but_flag,"Manual review accepted this as the same campaign/template, message variant, forwarded content, or personalized near duplicate."
H0373,heldout,near_duplicate,12,low,Accepted near pair(s) N0030|N0132|N0248|N0249 with max cosine 0.9783,Manual review category=same_spam_campaign_template; partner sample(s)=T0201|T0710|T3494|T3676; cross_split=True,should_fix,"Manual review accepted this as the same campaign/template, message variant, forwarded content, or personalized near duplicate."
H0009,heldout,leakage,13,high,Held-out row has 3 training duplicate partner(s): T1821|T3367|T3705,leakage_type=exact_and_near_reviewed_accepted; duplicate_ref=E0009; max_similarity=1.0000,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0548,heldout,leakage,14,high,Held-out row has 3 training duplicate partner(s): T0266|T4090|T4368,leakage_type=exact_and_near_reviewed_accepted; duplicate_ref=E0049; max_similarity=1.0000,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0412,heldout,leakage,15,high,Held-out row has 1 training duplicate partner(s): T1319,leakage_type=exact; duplicate_ref=E0164; max_similarity=1.0000,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0909,heldout,leakage,16,high,Held-out row has 1 training duplicate partner(s): T0683,leakage_type=exact; duplicate_ref=E0091; max_similarity=1.0000,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0922,heldout,leakage,17,high,Held-out row has 1 training duplicate partner(s): T4292,leakage_type=exact; duplicate_ref=E0285; max_similarity=1.0000,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
H0470,heldout,leakage,18,medium,Held-out row has 4 training duplicate partner(s): T0558|T1013|T2733|T3460,leakage_type=near_reviewed_accepted; duplicate_ref=N0099|N0162|N0314|N0315; max_similarity=1.0000,should_fix,"Held-out evaluation row is recoverable from training duplicate evidence, so leakage-aware scoring should exclude or flag it."
T2378,train,label_error,19,high,word_oof_p_spam=0.009,char_oof_p_spam=0.008,apply_training_label_overlay,"Standalone observational joke about driving; no solicitation, contact channel, or charge."
H0143,heldout,label_error,20,high,word_oof_p_spam=0.017,char_oof_p_spam=0.019,flag_only_no_relabel,"One-line joke about tattoos; no solicitation. Held-out row, flagged only."
T0059,train,label_error,21,high,word_oof_p_spam=0.037,char_oof_p_spam=0.032,apply_training_label_overlay,Divorce Barbie joke; self-contained punchline with no commercial mechanism.
T2232,train,label_error,22,high,word_oof_p_spam=0.051,char_oof_p_spam=0.024,apply_training_label_overlay,"Child-versus-teenager joke; conversational, no action requested."
H0896,heldout,label_error,23,high,word_oof_p_spam=0.105,char_oof_p_spam=0.063,flag_only_no_relabel,"Recipient asking what to do after a prize message; a victim query, not a solicitation. Held-out row, flagged only."
T3272,train,label_error,24,medium,word_oof_p_spam=0.107,char_oof_p_spam=0.068,apply_training_label_overlay,Personal reply from a named sender about a debt collector; no solicitation.
H0946,heldout,shortcut,25,high,all_shallow_p_spam=0.992;all_shallow_pred=spam;label=ham,full_text_p_spam=0.028;full_text_pred=ham;digits=11;currency=3;url=0;phone=0;promo_tokens=0;chars=89,retain_for_shortcut_stress_test,Legitimate apartment-price discussion is pushed to spam by eleven digits and three currency markers; this is a clear cue-induced false positive.
H0044,heldout,shortcut,26,high,all_shallow_p_spam=0.085;all_shallow_pred=ham;label=spam,full_text_p_spam=0.961;full_text_pred=spam;digits=0;currency=0;url=0;phone=0;promo_tokens=1;chars=133,retain_for_shortcut_stress_test,A ringtone-club solicitation has almost none of the usual numeric or contact cues so the shallow model misses clear spam that the text model detects.
H0287,heldout,shortcut,27,high,all_shallow_p_spam=0.997;all_shallow_pred=spam;label=spam,full_text_p_spam=0.305;full_text_pred=ham;digits=19;currency=1;url=0;phone=1;promo_tokens=0;chars=153,retain_for_shortcut_stress_test,A premium-rate adult-chat lure is recovered mainly from a telephone number and price marker while the full-text baseline remains below threshold.
H0318,heldout,shortcut,28,medium,all_shallow_p_spam=1.000;all_shallow_pred=spam;label=spam,full_text_p_spam=0.455;full_text_pred=ham;digits=26;currency=0;url=0;phone=1;promo_tokens=3;chars=160,retain_for_shortcut_stress_test,Phone and reply-cost markers drive the shallow probability to nearly one even though the full-text baseline remains below threshold.
H0891,heldout,shortcut,29,medium,all_shallow_p_spam=0.025;all_shallow_pred=ham;label=spam,full_text_p_spam=0.797;full_text_pred=spam;digits=2;currency=0;url=0;phone=0;promo_tokens=0;chars=73,retain_for_shortcut_stress_test,A mobile-club offer is missed by the shallow probe because it lacks the usual phone currency and promotional-token pattern.
H0076,heldout,shortcut,30,medium,all_shallow_p_spam=0.698;all_shallow_pred=spam;label=ham,full_text_p_spam=0.023;full_text_pred=ham;digits=9;currency=0;url=0;phone=0;promo_tokens=1;chars=248,retain_as_benign_hard_negative,A benign chain-message questionnaire contains many digits and a reply cue which causes a shallow false positive despite ordinary conversational context.
T2139,train,ambiguous,31,medium,word_oof_p_spam=0.016,char_oof_p_spam=0.011,clarify_annotation_policy,"Flirtatious opener with no price, shortcode, or premium number. Personal message and adult-chat lure are both consistent with the text."
T2710,train,ambiguous,32,medium,word_oof_p_spam=0.071,char_oof_p_spam=0.026,clarify_annotation_policy,070 number with no tariff disclosure. UK 070 is both a personal follow-me range and a range abused by premium redirect scams; judged on the same standard as T3390.
T3390,train,ambiguous,33,medium,word_oof_p_spam=0.172,char_oof_p_spam=0.284,clarify_annotation_policy,Missed-call alert quoting a 070 number without tariff disclosure; same standard as T2710.
H0550,heldout,ambiguous,34,medium,word_oof_p_spam=0.081,char_oof_p_spam=0.063,clarify_annotation_policy,The ROMCAPspam prefix may be residue of a real horoscope campaign or a corpus annotation artifact; the body itself is ordinary warm chat.
T0774,train,ambiguous,35,medium,word_oof_p_spam=0.191,char_oof_p_spam=0.213,clarify_annotation_policy,"Truncated text implying adult content, but no tariff, number, or shortcode survives in the row."
T0702,train,ambiguous,36,medium,word_oof_p_spam=0.051,char_oof_p_spam=0.043,clarify_annotation_policy,Requests address and date of birth for a product trial. Genuine recruitment by an acquaintance and cold data collection are both readable.
