cluster_id,cluster_size,splits,labels,label_conflict,cross_split,train_count,heldout_count,representative_id,representative_text,member_ids,source_script,method_version
E0067,4,train,ham,False,False,4,0,T0415,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,T0415|T0634|T1000|T4196,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0068,3,train,ham,False,False,3,0,T0416,Prabha..i'm soryda..realy..frm heart i'm sory,T0416|T1774|T4187,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0069,2,train,ham,False,False,2,0,T0426,Shall i come to get pickle,T0426|T1598,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0070,2,train,spam,False,False,2,0,T0431,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X",T0431|T0688,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0071,3,train,ham,False,False,3,0,T0436,What Today-sunday..sunday is holiday..so no work..,T0436|T2488|T4381,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0072,3,train,ham,False,False,3,0,T0442,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,T0442|T1012|T3858,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0073,3,train,ham,False,False,3,0,T0483,"I'm in a meeting, call me later at",T0483|T2734|T3715,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0074,2,heldout,spam,False,False,0,2,H0109,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",H0109|H0911,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0075,2,train,spam,False,False,2,0,T0489,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,T0489|T3143,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0076,2,train,spam,False,False,2,0,T0515,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.,T0515|T3913,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0077,3,heldout,ham,False,False,0,3,H0117,I had askd u a question some hours before. Its answer,H0117|H0395|H0749,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0078,2,train,ham,False,False,2,0,T0526,Ya very nice. . .be ready on thursday,T0526|T3802,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0079,3,train,ham,False,False,3,0,T0528,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",T0528|T0780|T3900,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0080,2,train,ham,False,False,2,0,T0541,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",T0541|T2061,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0081,2,train,ham,False,False,2,0,T0546,Have a good evening! Ttyl,T0546|T0669,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0082,2,train,ham,False,False,2,0,T0575,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence..",T0575|T2385,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0083,2,train,ham,False,False,2,0,T0579,He also knows about lunch menu only da. . I know,T0579|T0968,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0084,3,train,ham,False,False,3,0,T0620,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..",T0620|T1334|T2443,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0085,2,heldout,ham,False,False,0,2,H0154,Ok i msg u b4 i leave my house.,H0154|H0872,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0086,2,train,spam,False,False,2,0,T0648,"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16",T0648|T2319,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0087,2,train,spam,False,False,2,0,T0650,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,T0650|T4113,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0088,3,train,ham,False,False,3,0,T0671,Hahaha..use your brain dear,T0671|T4252|T4444,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0089,2,heldout,spam,False,False,0,2,H0159,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,H0159|H0586,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0090,2,train,ham,False,False,2,0,T0677,Good Morning my Dear........... Have a great &amp; successful day.,T0677|T2608,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0091,2,heldout|train,spam,False,True,1,1,T0683,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ ",T0683|H0909,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0092,2,heldout,spam,False,False,0,2,H0169,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",H0169|H0435,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0093,2,heldout,spam,False,False,0,2,H0170,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone,H0170|H0515,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0094,3,train,ham,False,False,3,0,T0721,Wife.how she knew the time of murder exactly,T0721|T2280|T2596,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0095,2,train,ham,False,False,2,0,T0728,Hope you are having a good week. Just checking in,T0728|T3646,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0096,2,train,ham,False,False,2,0,T0745,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL",T0745|T2549,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0097,2,train,ham,False,False,2,0,T0773,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOOD NIGHT",T0773|T1704,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0098,2,heldout,ham,False,False,0,2,H0183,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",H0183|H0590,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0099,2,train,spam,False,False,2,0,T0779,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,T0779|T2801,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0100,2,heldout,ham,False,False,0,2,H0186,I am not sure about night menu. . . I know only about noon menu,H0186|H0541,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0101,2,heldout,ham,False,False,0,2,H0189,If he started searching he will get job in few days.he have great potential and talent.,H0189|H0426,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0102,2,train,ham,False,False,2,0,T0804,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,T0804|T1862,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0103,3,heldout,spam,False,False,0,3,H0196,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,H0196|H0733|H0821,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0104,2,heldout,ham,False,False,0,2,H0198,May i call You later Pls,H0198|H0360,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0105,2,train,ham,False,False,2,0,T0840,"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)",T0840|T4042,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0106,2,train,ham,False,False,2,0,T0847,"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here..""",T0847|T3151,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0107,2,train,spam,False,False,2,0,T0850,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,T0850|T2189,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0108,3,train,ham,False,False,3,0,T0856,I'm at work. Please call,T0856|T1741|T4308,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0109,2,train,spam,False,False,2,0,T0859,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+,T0859|T2458,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0110,2,heldout,ham,False,False,0,2,H0204,Meeting u is my work. . . Tel me when shall i do my work tomorrow,H0204|H0702,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0111,2,train,spam,False,False,2,0,T0866,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,T0866|T3470,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0112,3,train,ham,False,False,3,0,T0876,Convey my regards to him,T0876|T1093|T3918,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0113,3,train,ham,False,False,3,0,T0880,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,T0880|T1468|T2524,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0114,2,train,spam,False,False,2,0,T0884,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99,T0884|T4421,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0115,2,train,ham,False,False,2,0,T0889,Now only i reached home. . . I am very tired now. . I will come tomorro,T0889|T3408,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0116,3,train,ham,False,False,3,0,T0909,Ok.ok ok..then..whats ur todays plan,T0909|T2987|T4311,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0117,2,heldout,ham,False,False,0,2,H0216,Good morning princess! How are you?,H0216|H0219,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0118,3,train,spam,False,False,3,0,T0924,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,T0924|T1936|T2206,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
E0119,3,train,ham,False,False,3,0,T0941,K. I will sent it again,T0941|T4391|T4393,scripts/audit_duplicates.py,duplicate-audit-v1.1-stable-pair-keys
