pair_id,id_a,id_b,split_a,split_b,label_a,label_b,uci_row_number_a,uci_row_number_b,word_cosine,char_cosine,max_cosine,primary_matcher,cross_split,label_conflict,above_protocol_threshold,reason_code_suggestion,text_a,text_b,source_script,method_version
N0288,H0445,T4014,heldout,train,spam,spam,2221,5013,1.0,0.9565562200487602,1.0,word,True,False,True,high_token_overlap_review_needed,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0313,T1881,H0850,train,heldout,ham,ham,2350,4328,1.0,0.7306678014300666,1.0,word,True,False,True,generic_short_text_review_needed,That seems unnecessarily affectionate,That seems unnecessarily hostile,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0314,H0470,T2733,heldout,train,spam,spam,2355,3392,1.0,0.9424970518085041,1.0,word,True,False,True,threshold_candidate_review_needed,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,Please CALL 08712402972 immediately as there is an urgent message waiting for you,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0315,H0470,T3460,heldout,train,spam,spam,2355,4298,1.0,0.8939073195729491,1.0,word,True,False,True,same_words_possible_entity_or_number_change,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,Please CALL 08712402578 immediately as there is an urgent message waiting for you,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0328,T2085,H0531,train,heldout,ham,ham,2600,2719,1.0,0.8628493839292858,1.0,word,True,False,True,generic_short_text_review_needed,Okie... Thanx...,Okie.. Thanx..,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0350,T2298,H0561,train,heldout,spam,spam,2851,2872,1.0,0.9868253127906481,1.0,word,True,False,True,very_high_similarity_template_review_needed,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call","YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.",scripts/audit_duplicates.py,duplicate-audit-v1.0
N0358,T2413,H0645,train,heldout,spam,spam,3003,3300,1.0,0.9515181778045241,1.0,word,True,False,True,high_token_overlap_review_needed,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0378,T2627,H0663,train,heldout,spam,spam,3267,3410,1.0,0.894704250954387,1.0,word,True,False,True,same_words_possible_entity_or_number_change,"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.",Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0392,H0663,T4064,heldout,train,spam,spam,3410,5080,1.0,0.9714802979067496,1.0,word,True,False,True,very_high_similarity_template_review_needed,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0347,H0548,T4090,heldout,train,spam,spam,2809,5115,0.9639600589758155,0.9966777127723276,0.9966777127723276,char,True,False,True,very_high_similarity_template_review_needed,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 ,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 ,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0033,T0218,H0738,train,heldout,spam,spam,260,3802,0.9822537008303591,0.9957873344954142,0.9957873344954142,char,True,False,True,very_high_similarity_template_review_needed,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0251,H0378,T4156,heldout,train,spam,spam,1905,5192,0.9868148682100555,0.9943383372322006,0.9943383372322006,char,True,False,True,very_high_similarity_template_review_needed,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0364,H0610,T4156,heldout,train,spam,spam,3124,5192,0.9868148682100555,0.9943383372322006,0.9943383372322006,char,True,False,True,very_high_similarity_template_review_needed,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0154,T0885,H0311,train,heldout,spam,spam,1092,1599,0.9917365624949894,0.9518672494859893,0.9917365624949894,word,True,False,True,high_token_overlap_review_needed,WIN URGENT! Your mobile number has been awarded with a £2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm ,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0156,T0885,H0945,train,heldout,spam,spam,1092,4760,0.9917365624949894,0.9518672494859893,0.9917365624949894,word,True,False,True,high_token_overlap_review_needed,WIN URGENT! Your mobile number has been awarded with a £2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm ,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0398,T2901,H0867,train,heldout,spam,spam,3596,4387,0.9777924515208065,0.9854838705662545,0.9854838705662545,char,True,False,True,very_high_similarity_template_review_needed,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0160,H0215,T2812,heldout,train,spam,spam,1123,3484,0.8699142566403876,0.9849674248536205,0.9849674248536205,char,True,False,True,same_character_template_minor_format_change,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0129,H0168,T1285,heldout,train,spam,spam,869,1595,0.9828757358277002,0.9225080978504961,0.9828757358277002,word,True,False,True,same_words_possible_entity_or_number_change,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0260,T1548,H0767,train,heldout,spam,spam,1930,3898,0.9804405165275171,0.9307880461228616,0.9804405165275171,word,True,False,True,same_words_possible_entity_or_number_change,Call from 08702490080 - tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0094,H0114,T0998,heldout,train,ham,ham,625,1233,0.9791172707008863,0.8268631012320333,0.9791172707008863,word,True,False,True,high_token_overlap_review_needed,"sorry, no, have got few things to do. may be in pub later.",have got * few things to do. may be in * pub later.,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0132,T0710,H0373,train,heldout,spam,spam,880,1881,0.978345534729327,0.9433633913259932,0.978345534729327,word,True,False,True,high_token_overlap_review_needed,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0327,H0507,T4417,heldout,train,ham,ham,2569,5523,0.978107304010672,0.9157847211631075,0.978107304010672,word,True,False,True,generic_short_text_review_needed,I dont want to hear anything,No. I dont want to hear anything,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0016,H0022,T1646,heldout,train,ham,ham,143,2057,0.7219563638328468,0.9778693018326621,0.9778693018326621,char,True,False,True,generic_short_text_review_needed,"Sir, Waiting for your mail.","Sir, I am waiting for your mail.",scripts/audit_duplicates.py,duplicate-audit-v1.0
N0087,T0484,H0778,train,heldout,spam,spam,593,3964,0.9764913119777406,0.955268689850575,0.9764913119777406,word,True,False,True,high_token_overlap_review_needed,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,"You have been specially selected to receive a ""3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo",scripts/audit_duplicates.py,duplicate-audit-v1.0
N0093,T0501,H0853,train,heldout,ham,ham,613,4345,0.9744422997708552,0.9703310734909117,0.9744422997708552,word,True,False,True,very_high_similarity_template_review_needed,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0012,H0019,T2655,heldout,train,spam,spam,124,3299,0.9737166827498036,0.9228681758588868,0.9737166827498036,word,True,False,True,threshold_candidate_review_needed,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app ,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0221,H0311,T4223,heldout,train,spam,spam,1599,5281,0.9388886840529624,0.9728453920259112,0.9728453920259112,char,True,False,True,high_token_overlap_review_needed,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0439,H0945,T4223,heldout,train,spam,spam,4760,5281,0.9388886840529624,0.9728453920259112,0.9728453920259112,char,True,False,True,high_token_overlap_review_needed,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0217,T1269,H1003,train,heldout,spam,spam,1574,5028,0.9716129274751935,0.9612044415828541,0.9716129274751935,word,True,False,True,very_high_similarity_template_review_needed,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0444,H0973,T4035,heldout,train,spam,spam,4878,5042,0.9657474259165537,0.7297035910161568,0.9657474259165537,word,True,False,True,threshold_candidate_review_needed,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0406,T3075,H1063,train,heldout,spam,spam,3820,5297,0.9652591568715388,0.7327372600685135,0.9652591568715388,word,True,False,True,high_token_overlap_review_needed,74355 XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC,XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0068,T0304,H0589,train,heldout,spam,spam,368,2981,0.9639921154284934,0.9180430885471136,0.9639921154284934,word,True,False,True,threshold_candidate_review_needed,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=","Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2",scripts/audit_duplicates.py,duplicate-audit-v1.0
N0038,T0233,H0551,train,heldout,ham,ham,277,2843,0.5738853944969396,0.9621124091000608,0.9621124091000608,char,True,False,True,generic_short_text_review_needed,Thanx...,Ok thanx...,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0039,T0233,H0660,train,heldout,ham,ham,277,3395,0.5738853944969396,0.9621124091000608,0.9621124091000608,char,True,False,True,generic_short_text_review_needed,Thanx...,Ok thanx...,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0380,T2628,H0959,train,heldout,ham,ham,3268,4826,0.9588003813304682,0.8053807196049654,0.9588003813304682,word,True,False,True,threshold_candidate_review_needed,tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?,Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0080,T0382,H0153,train,heldout,spam,spam,464,798,0.9578467972911489,0.8432895214872309,0.9578467972911489,word,True,False,True,threshold_candidate_review_needed,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available","Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",scripts/audit_duplicates.py,duplicate-audit-v1.0
N0351,T2328,H0765,train,heldout,spam,spam,2898,3892,0.954780867402152,0.9372056186406187,0.954780867402152,word,True,False,True,high_token_overlap_review_needed,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL","Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8",scripts/audit_duplicates.py,duplicate-audit-v1.0
N0158,H0210,T1131,heldout,train,spam,spam,1106,1408,0.9488538511596373,0.9518461561422614,0.9518461561422614,char,True,False,True,high_token_overlap_review_needed,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",scripts/audit_duplicates.py,duplicate-audit-v1.0
N0124,T0677,H0940,train,heldout,ham,ham,837,4735,0.9515864571237395,0.8558661771111274,0.9515864571237395,word,True,False,True,high_token_overlap_review_needed,Good Morning my Dear........... Have a great &amp; successful day.,Good Morning my Dear Shijutta........... Have a great &amp; successful day.,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0377,T2608,H0940,train,heldout,ham,ham,3244,4735,0.9515864571237395,0.8558661771111274,0.9515864571237395,word,True,False,True,high_token_overlap_review_needed,Good Morning my Dear........... Have a great &amp; successful day.,Good Morning my Dear Shijutta........... Have a great &amp; successful day.,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0375,T2590,H0988,train,heldout,spam,spam,3218,4968,0.9503574661375299,0.8316071997815909,0.9503574661375299,word,True,False,True,high_token_overlap_review_needed,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0106,T0583,H0445,train,heldout,spam,spam,720,2221,0.9441959174681276,0.9485796659614448,0.9485796659614448,char,True,False,True,high_token_overlap_review_needed,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0096,T0520,H0160,train,heldout,spam,spam,636,834,0.8694035829024152,0.9464739543407517,0.9464739543407517,char,True,False,True,threshold_candidate_review_needed,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.","Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",scripts/audit_duplicates.py,duplicate-audit-v1.0
N0159,H0210,T3445,heldout,train,spam,spam,1106,4281,0.9136208490879808,0.9400651629510348,0.9400651629510348,char,True,False,True,high_token_overlap_review_needed,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !",scripts/audit_duplicates.py,duplicate-audit-v1.0
N0200,H0288,T1769,heldout,train,spam,spam,1464,2208,0.939345983417765,0.8859599382843732,0.939345983417765,word,True,False,True,high_token_overlap_review_needed,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!","URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM",scripts/audit_duplicates.py,duplicate-audit-v1.0
N0131,T0710,H0316,train,heldout,spam,spam,880,1624,0.9372936846687971,0.9217669810645339,0.9372936846687971,word,True,False,True,high_token_overlap_review_needed,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0133,T0710,H0804,train,heldout,spam,spam,880,4105,0.9372936846687971,0.9217669810645339,0.9372936846687971,word,True,False,True,high_token_overlap_review_needed,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0263,T1558,H1030,train,heldout,spam,spam,1943,5140,0.8278506454856194,0.9332448364321473,0.9332448364321473,char,True,False,True,threshold_candidate_review_needed,"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins","YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",scripts/audit_duplicates.py,duplicate-audit-v1.0
N0264,T1558,H1038,train,heldout,spam,spam,1943,5204,0.8278506454856194,0.9332448364321473,0.9332448364321473,char,True,False,True,threshold_candidate_review_needed,"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins","YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",scripts/audit_duplicates.py,duplicate-audit-v1.0
N0431,T3462,H1030,train,heldout,spam,spam,4300,5140,0.8278506454856194,0.9332448364321473,0.9332448364321473,char,True,False,True,threshold_candidate_review_needed,"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins","YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",scripts/audit_duplicates.py,duplicate-audit-v1.0
N0432,T3462,H1038,train,heldout,spam,spam,4300,5204,0.8278506454856194,0.9332448364321473,0.9332448364321473,char,True,False,True,threshold_candidate_review_needed,"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins","YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",scripts/audit_duplicates.py,duplicate-audit-v1.0
N0086,T0435,H1108,train,heldout,spam,spam,532,5529,0.9301352272921812,0.8961761991887601,0.9301352272921812,word,True,False,True,threshold_candidate_review_needed,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0440,T3844,H1090,train,heldout,spam,spam,4799,5430,0.9296198266601193,0.7040906822305676,0.9296198266601193,word,True,False,True,threshold_candidate_review_needed,Santa calling! Would your little ones like a call from Santa Xmas Eve? Call 09077818151 to book you time. Calls1.50ppm last 3mins 30s T&C www.santacalling.com,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.,scripts/audit_duplicates.py,duplicate-audit-v1.0
N0376,H0632,T3256,heldout,train,spam,spam,3223,4049,0.9068454578918721,0.9289007824233358,0.9289007824233358,char,True,False,True,high_token_overlap_review_needed,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180","Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182",scripts/audit_duplicates.py,duplicate-audit-v1.0
