sample_id,split,label,uci_row_number,duplicate_type,cross_split_duplicate,exact_cluster_ids,near_pair_ids,n_exact_duplicate_clusters,n_exact_duplicate_partner_samples,n_near_reviewed_accepted_pairs,n_cross_split_exact_partner_samples,n_cross_split_near_reviewed_accepted_pairs,partner_ids,cross_split_partner_ids,review_categories,max_near_similarity,text
H0470,heldout,spam,2355,near_reviewed_accepted,True,,N0099|N0162|N0314|N0315,0,0,4,0,4,T0558|T1013|T2733|T3460,T0558|T1013|T2733|T3460,same_spam_campaign_template,1.0,Please CALL 08712402902 immediately as there is an urgent message waiting for you.
H0507,heldout,ham,2569,near_reviewed_accepted,True,,N0327,0,0,1,0,1,T4417,T4417,minor_personalization_change,0.978107304010672,I dont want to hear anything
H0548,heldout,spam,2809,exact_and_near_reviewed_accepted,True,E0049,N0347,1,2,1,2,1,T0266|T4090|T4368,T0266|T4090|T4368,same_spam_campaign_template,0.9966777127723276,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 
H0561,heldout,spam,2872,near_reviewed_accepted,True,,N0350,0,0,1,0,1,T2298,T2298,same_spam_campaign_template,1.0,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call."
H0589,heldout,spam,2981,near_reviewed_accepted,True,,N0068,0,0,1,0,1,T0304,T0304,same_spam_campaign_template,0.9639921154284934,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2"
H0610,heldout,spam,3124,exact_and_near_reviewed_accepted,True,E0186,N0364,1,1,1,0,1,H0378|T4156,T4156,same_spam_campaign_template,0.9943383372322006,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
H0620,heldout,spam,3168,exact_and_near_reviewed_accepted,True,E0138,N0211|N0356,1,1,2,0,2,H0266|T1209|T2403,T1209|T2403,same_spam_campaign_template,0.9222468765339176,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
H0632,heldout,spam,3223,near_reviewed_accepted,True,,N0376,0,0,1,0,1,T3256,T3256,same_spam_campaign_template,0.9289007824233358,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180"
H0644,heldout,spam,3291,near_reviewed_accepted,True,,N0382|N0383|N0384,0,0,3,0,3,T2769|T3805|T4291,T2769|T3805|T4291,same_spam_campaign_template,1.0000000000000002,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days
H0645,heldout,spam,3300,near_reviewed_accepted,True,,N0358,0,0,1,0,1,T2413,T2413,same_spam_campaign_template,1.0,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only
H0663,heldout,spam,3410,near_reviewed_accepted,True,,N0378|N0392,0,0,2,0,2,T2627|T4064,T2627|T4064,same_spam_campaign_template,1.0,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705
H0727,heldout,ham,3734,exact_and_near_reviewed_accepted,True,E0030,N0092,1,2,1,0,1,H0031|H0152|T0488,T0488,minor_personalization_change,0.9227336540787052,Gud mrng dear hav a nice day
H0733,heldout,spam,3764,exact_and_near_reviewed_accepted,True,E0103,N0115|N0405,1,2,2,0,2,H0196|H0821|T0650|T4113,T0650|T4113,same_spam_campaign_template,0.925431904802045,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
H0738,heldout,spam,3802,near_reviewed_accepted,True,,N0033,0,0,1,0,1,T0218,T0218,same_spam_campaign_template,0.9957873344954142,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
H0765,heldout,spam,3892,near_reviewed_accepted,True,,N0351,0,0,1,0,1,T2328,T2328,same_spam_campaign_template,0.954780867402152,"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8"
H0767,heldout,spam,3898,near_reviewed_accepted,True,,N0260,0,0,1,0,1,T1548,T1548,same_spam_campaign_template,0.9804405165275172,tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
H0778,heldout,spam,3964,near_reviewed_accepted,True,,N0087,0,0,1,0,1,T0484,T0484,same_spam_campaign_template,0.9764913119777406,"You have been specially selected to receive a ""3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo"
H0804,heldout,spam,4105,exact_and_near_reviewed_accepted,True,E0162,N0133,1,1,1,0,1,H0316|T0710,T0710,same_spam_campaign_template,0.9372936846687971,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
H0805,heldout,spam,4113,near_reviewed_accepted,True,,N0422,0,0,1,0,1,T4223,T4223,same_spam_campaign_template,0.9269514714249442,URGENT! Your Mobile number has been awarded a <UKP>2000 prize GUARANTEED. Call 09061790125 from landline. Claim 3030. Valid 12hrs only 150ppm
H0815,heldout,spam,4155,exact_and_near_reviewed_accepted,True,E0206,N0262|N0423,1,1,2,0,2,H0440|T1558|T3462,T1558|T3462,same_spam_campaign_template,0.9232009124035072,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
H0821,heldout,spam,4199,exact_and_near_reviewed_accepted,True,E0103,N0116|N0427,1,2,2,0,2,H0196|H0733|T0650|T4113,T0650|T4113,same_spam_campaign_template,0.925431904802045,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
H0853,heldout,ham,4345,near_reviewed_accepted,True,,N0093,0,0,1,0,1,T0501,T0501,minor_personalization_change,0.9744422997708552,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?
H0867,heldout,spam,4387,near_reviewed_accepted,True,,N0398,0,0,1,0,1,T2901,T2901,same_spam_campaign_template,0.9854838705662544,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705
H0908,heldout,spam,4579,near_reviewed_accepted,True,,N0434,0,0,1,0,1,T4439,T4439,same_spam_campaign_template,1.000000000000001,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records"
H0909,heldout,spam,4580,exact,True,E0091,,1,1,0,1,0,T0683,T0683,,,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
H0922,heldout,spam,4653,exact,True,E0285,,1,1,0,1,0,T4292,T4292,,,A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611 
H0926,heldout,ham,4676,near_reviewed_accepted,True,,N0017,0,0,1,0,1,T0133,T0133,minor_personalization_change,1.0,I'm leaving my house now.
H0940,heldout,ham,4735,near_reviewed_accepted,True,,N0124|N0377,0,0,2,0,2,T0677|T2608,T0677|T2608,minor_personalization_change,0.9515864571237396,Good Morning my Dear Shijutta........... Have a great &amp; successful day.
H0945,heldout,spam,4760,exact_and_near_reviewed_accepted,True,E0160,N0156|N0439,1,1,2,0,2,H0311|T0885|T4223,T0885|T4223,same_spam_campaign_template,0.9917365624949894,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
H0959,heldout,ham,4826,near_reviewed_accepted,True,,N0380,0,0,1,0,1,T2628,T2628,minor_personalization_change,0.9588003813304682,Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?
H0973,heldout,spam,4878,near_reviewed_accepted,True,,N0018|N0444,0,0,2,0,2,T0140|T4035,T0140|T4035,same_spam_campaign_template,0.9657474259165536,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468
H0988,heldout,spam,4968,near_reviewed_accepted,True,,N0375,0,0,1,0,1,T2590,T2590,same_spam_campaign_template,0.95035746613753,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only
H1003,heldout,spam,5028,near_reviewed_accepted,True,,N0217,0,0,1,0,1,T1269,T1269,same_spam_campaign_template,0.9716129274751936,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL
H1030,heldout,spam,5140,exact_and_near_reviewed_accepted,True,E0288,N0263|N0431,1,1,2,0,2,H1038|T1558|T3462,T1558|T3462,same_spam_campaign_template,0.9332448364321472,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
H1038,heldout,spam,5204,exact_and_near_reviewed_accepted,True,E0288,N0264|N0432,1,1,2,0,2,H1030|T1558|T3462,T1558|T3462,same_spam_campaign_template,0.9332448364321472,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
H1063,heldout,spam,5297,near_reviewed_accepted,True,,N0406,0,0,1,0,1,T3075,T3075,same_spam_campaign_template,0.9652591568715388,XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription 
H1090,heldout,spam,5430,near_reviewed_accepted,True,,N0440,0,0,1,0,1,T3844,T3844,same_spam_campaign_template,0.9296198266601192,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.
H1108,heldout,spam,5529,near_reviewed_accepted,True,,N0086,0,0,1,0,1,T0435,T0435,same_spam_campaign_template,0.9301352272921812,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04
T0133,train,ham,158,near_reviewed_accepted,True,,N0017,0,0,1,0,1,H0926,H0926,minor_personalization_change,1.0,I'm leaving my house now...
T0140,train,spam,165,near_reviewed_accepted,True,,N0018|N0019,0,0,2,0,1,H0973|T4035,H0973,same_spam_campaign_template,0.925057882739164,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
T0201,train,spam,241,exact_and_near_reviewed_accepted,True,E0036,N0030,1,1,1,0,1,H0373|T3494,H0373,same_spam_campaign_template,0.9209533428520356,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
T0218,train,spam,260,near_reviewed_accepted,True,,N0033,0,0,1,0,1,H0738,H0738,same_spam_campaign_template,0.9957873344954142,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
T0266,train,spam,320,exact_and_near_reviewed_accepted,True,E0049,N0063,1,2,1,1,0,H0548|T4090|T4368,H0548|T4368,same_spam_campaign_template,0.9966777127723276,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
T0304,train,spam,368,near_reviewed_accepted,True,,N0068,0,0,1,0,1,H0589,H0589,same_spam_campaign_template,0.9639921154284934,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q="
T0382,train,spam,464,near_reviewed_accepted,True,,N0080,0,0,1,0,1,H0153,H0153,same_spam_campaign_template,0.9578467972911489,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available"
T0435,train,spam,532,near_reviewed_accepted,True,,N0086,0,0,1,0,1,H1108,H1108,same_spam_campaign_template,0.9301352272921812,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 
T0484,train,spam,593,near_reviewed_accepted,True,,N0087,0,0,1,0,1,H0778,H0778,same_spam_campaign_template,0.9764913119777406,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo
T0488,train,ham,598,near_reviewed_accepted,True,,N0023|N0091|N0092,0,0,3,0,3,H0031|H0152|H0727,H0031|H0152|H0727,minor_personalization_change,0.9227336540787052,Gud mrng dear have a nice day
T0501,train,ham,613,near_reviewed_accepted,True,,N0093,0,0,1,0,1,H0853,H0853,minor_personalization_change,0.9744422997708552,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me
T0520,train,spam,636,near_reviewed_accepted,True,,N0096,0,0,1,0,1,H0160,H0160,same_spam_campaign_template,0.9464739543407517,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062."
T0558,train,spam,691,near_reviewed_accepted,True,,N0098|N0099|N0100|N0101,0,0,4,0,1,H0470|T1013|T2733|T3460,H0470,same_spam_campaign_template,0.9227226254852662,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.
T0583,train,spam,720,near_reviewed_accepted,True,,N0106|N0107,0,0,2,0,1,H0445|T4014,H0445,same_spam_campaign_template,0.9485796659614448,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm
T0650,train,spam,804,exact_and_near_reviewed_accepted,True,E0087,N0114|N0115|N0116,1,1,3,0,3,H0196|H0733|H0821|T4113,H0196|H0733|H0821,same_spam_campaign_template,0.925431904802045,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
T0677,train,ham,837,exact_and_near_reviewed_accepted,True,E0090,N0124,1,1,1,0,1,H0940|T2608,H0940,minor_personalization_change,0.9515864571237396,Good Morning my Dear........... Have a great &amp; successful day.
T0683,train,spam,845,exact,True,E0091,,1,1,0,1,0,H0909,H0909,,,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ "
T0710,train,spam,880,near_reviewed_accepted,True,,N0131|N0132|N0133,0,0,3,0,3,H0316|H0373|H0804,H0316|H0373|H0804,same_spam_campaign_template,0.978345534729327,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565
T0885,train,spam,1092,near_reviewed_accepted,True,,N0154|N0156|N0157,0,0,3,0,2,H0311|H0945|T4223,H0311|H0945,same_spam_campaign_template,0.9917365624949894,WIN URGENT! Your mobile number has been awarded with a £2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm 
T0998,train,ham,1233,near_reviewed_accepted,True,,N0094,0,0,1,0,1,H0114,H0114,minor_personalization_change,0.9791172707008864,have got * few things to do. may be in * pub later.
T1013,train,spam,1253,near_reviewed_accepted,True,,N0098|N0162|N0163|N0164,0,0,4,0,1,H0470|T0558|T2733|T3460,H0470,same_spam_campaign_template,1.0,Please CALL 08712402779 immediately as there is an urgent message waiting for you
T1131,train,spam,1408,near_reviewed_accepted,True,,N0158|N0187,0,0,2,0,1,H0210|T3445,H0210,same_spam_campaign_template,0.9590799377953833,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU"
T1209,train,spam,1503,exact_and_near_reviewed_accepted,True,E0149,N0184|N0211|N0212,1,1,3,0,2,H0266|H0620|T2403|T3305,H0266|H0620,same_spam_campaign_template,0.9576497369444192,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
T1269,train,spam,1574,near_reviewed_accepted,True,,N0217,0,0,1,0,1,H1003,H1003,same_spam_campaign_template,0.9716129274751936,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
T1285,train,spam,1595,near_reviewed_accepted,True,,N0129,0,0,1,0,1,H0168,H0168,same_spam_campaign_template,0.9828757358277002,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04
T1319,train,spam,1636,exact,True,E0164,,1,1,0,1,0,H0412,H0412,,,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p"
T1548,train,spam,1930,near_reviewed_accepted,True,,N0260,0,0,1,0,1,H0767,H0767,same_spam_campaign_template,0.9804405165275172,Call from 08702490080 - tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
T1558,train,spam,1943,exact_and_near_reviewed_accepted,True,E0189,N0261|N0262|N0263|N0264,1,1,4,0,4,H0440|H0815|H1030|H1038|T3462,H0440|H0815|H1030|H1038,same_spam_campaign_template,0.9332448364321472,"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
T1606,train,ham,2006,near_reviewed_accepted,True,,N0153,0,0,1,0,1,H0207,H0207,minor_personalization_change,1.0,"Goodmorning, today i am late for  &lt;DECIMAL&gt; min."
T1646,train,ham,2057,near_reviewed_accepted,True,,N0016,0,0,1,0,1,H0022,H0022,minor_personalization_change,0.977869301832662,"Sir, I am waiting for your mail."
T1769,train,spam,2208,near_reviewed_accepted,True,,N0200,0,0,1,0,1,H0288,H0288,same_spam_campaign_template,0.939345983417765,"URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM"
T1780,train,spam,2225,near_reviewed_accepted,True,,N0289,0,0,1,0,1,H0451,H0451,same_spam_campaign_template,1.0000000000000002,"Thanks for your ringtone order, ref number K718. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069120"
T1821,train,ham,2281,exact_and_near_reviewed_accepted,True,E0209,N0001|N0291|N0292,1,1,3,0,1,H0009|T2535|T3367|T3705,H0009,embedded_or_transcript_variant|minor_personalization_change,1.0,"Sorry, I'll call later in meeting"
T2298,train,spam,2851,near_reviewed_accepted,True,,N0350,0,0,1,0,1,H0561,H0561,same_spam_campaign_template,1.0,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call"
T2328,train,spam,2898,near_reviewed_accepted,True,,N0351,0,0,1,0,1,H0765,H0765,same_spam_campaign_template,0.954780867402152,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL"
T2403,train,spam,2993,exact_and_near_reviewed_accepted,True,E0149,N0185|N0356|N0357,1,1,3,0,2,H0266|H0620|T1209|T3305,H0266|H0620,same_spam_campaign_template,0.9576497369444192,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
T2413,train,spam,3003,near_reviewed_accepted,True,,N0358,0,0,1,0,1,H0645,H0645,same_spam_campaign_template,1.0,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only
