cluster_id,member_order,id,split,uci_row_number,label,text,normalized_text,source_script,method_version
E0005,2,T2597,train,3230,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","six chances to win cash! from 100 to 20,000 pounds txt> csh11 and send to 87575. cost 150p/day, 6days, 16+ tsandcs apply reply hl 4 info",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0006,1,T0013,train,13,spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","urgent! you have won a 1 week free membership in our £100,000 prize jackpot! txt the word: claim to no: 81010 t&c www.dbuk.net lccltd pobox 4403ldnw1a7rw18",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0006,2,T4227,train,5288,spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","urgent! you have won a 1 week free membership in our £100,000 prize jackpot! txt the word: claim to no: 81010 t&c www.dbuk.net lccltd pobox 4403ldnw1a7rw18",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0007,1,T0039,train,46,ham,No calls..messages..missed calls,no calls..messages..missed calls,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0007,2,T0271,train,327,ham,No calls..messages..missed calls,no calls..messages..missed calls,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0007,3,T1590,train,1989,ham,No calls..messages..missed calls,no calls..messages..missed calls,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0008,1,T0049,train,57,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ","congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! c suprman v, matrix3, starwars3, etc all 4 free! bx420-ip4-5we. 150pm. dont miss out!",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0008,2,T0401,train,493,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!","congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! c suprman v, matrix3, starwars3, etc all 4 free! bx420-ip4-5we. 150pm. dont miss out!",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0008,3,T1838,train,2301,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!","congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! c suprman v, matrix3, starwars3, etc all 4 free! bx420-ip4-5we. 150pm. dont miss out!",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0009,1,H0009,heldout,58,ham,"Sorry, I'll call later in meeting.","sorry, i'll call later in meeting.",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0009,2,T3705,train,4621,ham,"Sorry, I'll call later In meeting.","sorry, i'll call later in meeting.",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0010,1,T0054,train,63,ham,Its a part of checking IQ,its a part of checking iq,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0010,2,T4198,train,5244,ham,Its a part of checking IQ,its a part of checking iq,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0011,1,T0057,train,66,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589","as a valued customer, i am pleased to advise you that following recent review of your mob no. you are awarded with a £1500 bonus prize, call 09066364589",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0011,2,T2741,train,3402,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589","as a valued customer, i am pleased to advise you that following recent review of your mob no. you are awarded with a £1500 bonus prize, call 09066364589",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0012,1,H0010,heldout,67,ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...","today is ""song dedicated day.."" which song will u dedicate for me? send this to all ur valuable frnds but first rply me...",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0012,2,H0332,heldout,1681,ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...","today is ""song dedicated day.."" which song will u dedicate for me? send this to all ur valuable frnds but first rply me...",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0013,1,T0058,train,68,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","urgent ur awarded a complimentary trip to eurodisinc trav, aco&entry41 or £1000. to claim txt dis to 87121 18+6*£1.50(morefrmmob. shracomorsglsuplt)10, ls1 3aj",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0013,2,T3573,train,4451,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","urgent ur awarded a complimentary trip to eurodisinc trav, aco&entry41 or £1000. to claim txt dis to 87121 18+6*£1.50(morefrmmob. shracomorsglsuplt)10, ls1 3aj",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,1,T0069,train,81,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,2,T0188,train,224,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,3,T0283,train,340,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,4,T0367,train,445,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,5,T0569,train,703,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,6,T0623,train,769,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,7,T0915,train,1133,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,8,T0933,train,1153,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,9,T1194,train,1486,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,10,T1277,train,1586,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,11,T1526,train,1903,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,12,T1586,train,1982,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,13,T1591,train,1990,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,14,T1911,train,2386,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,15,T1965,train,2448,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,16,T2024,train,2519,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,17,T2028,train,2523,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,18,T2029,train,2525,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,19,T2128,train,2647,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,20,T2699,train,3350,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,21,T2714,train,3367,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,22,T2850,train,3535,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,23,T2900,train,3595,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,24,T3321,train,4129,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,25,T3358,train,4174,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,26,T3373,train,4192,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,27,T4158,train,5194,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,28,T4338,train,5426,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,29,T4366,train,5461,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0014,30,T4448,train,5561,ham,"Sorry, I'll call later","sorry, i'll call later",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0015,1,T0072,train,84,ham,You will be in the place of that man,you will be in the place of that man,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0015,2,T0538,train,659,ham,You will be in the place of that man,you will be in the place of that man,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0015,3,T1883,train,2352,ham,You will be in the place of that man,you will be in the place of that man,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0016,1,T0074,train,86,ham,"I call you later, don't have network. If urgnt, sms me.","i call you later, don't have network. if urgnt, sms me.",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0016,2,T1011,train,1251,ham,"I call you later, don't have network. If urgnt, sms me.","i call you later, don't have network. if urgnt, sms me.",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0017,1,H0013,heldout,93,ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling!!,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0017,2,H1042,heldout,5228,ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling!!,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0018,1,H0014,heldout,94,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call our customer service representative on 0800 169 6031 between 10am-9pm as you have won a guaranteed £1000 cash or £5000 prize!,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0018,2,H0918,heldout,4629,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call our customer service representative on 0800 169 6031 between 10am-9pm as you have won a guaranteed £1000 cash or £5000 prize!,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0019,1,H0015,heldout,96,spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16","your free ringtone is waiting to be collected. simply text the password ""mix"" to 85069 to verify. get usher and britney. fml, po box 5249, mk17 92h. 450ppw 16",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0019,2,H0171,heldout,901,spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16","your free ringtone is waiting to be collected. simply text the password ""mix"" to 85069 to verify. get usher and britney. fml, po box 5249, mk17 92h. 450ppw 16",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0020,1,T0098,train,115,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,gent! we are trying to contact you. last weekends draw shows that you won a £1000 prize guaranteed. call 09064012160. claim code k52. valid 12hrs only. 150ppm,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0020,2,T0462,train,565,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm ,gent! we are trying to contact you. last weekends draw shows that you won a £1000 prize guaranteed. call 09064012160. claim code k52. valid 12hrs only. 150ppm,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0021,1,T0099,train,117,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.","as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there.",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0021,2,T0176,train,208,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.","as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there.",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0021,3,T0916,train,1135,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.","as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there.",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0022,1,T0103,train,121,spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,private! your 2004 account statement for 07742676969 shows 786 unredeemed bonus points. to claim call 08719180248 identifier code: 45239 expires,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0022,2,T1681,train,2096,spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,private! your 2004 account statement for 07742676969 shows 786 unredeemed bonus points. to claim call 08719180248 identifier code: 45239 expires,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0023,1,T0115,train,135,spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,sunshine quiz wkly q! win a top sony dvd player if u know which country the algarve is in? txt ansr to 82277. £1.50 sp:tyrone,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0023,2,T1357,train,1692,spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,sunshine quiz wkly q! win a top sony dvd player if u know which country the algarve is in? txt ansr to 82277. £1.50 sp:tyrone,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0024,1,T0118,train,139,ham,No no. I will check all rooms befor activities,no no. i will check all rooms befor activities,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0024,2,T3282,train,4084,ham,No no. I will check all rooms befor activities,no no. i will check all rooms befor activities,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0024,3,T4074,train,5094,ham,No no. I will check all rooms befor activities,no no. i will check all rooms befor activities,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0025,1,T0136,train,161,spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,you are a winner u have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0025,2,T0994,train,1226,spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,you are a winner u have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0026,1,T0145,train,171,ham,Yes :)it completely in out of form:)clark also utter waste.,yes :)it completely in out of form:)clark also utter waste.,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0026,2,T1574,train,1965,ham,Yes :)it completely in out of form:)clark also utter waste.,yes :)it completely in out of form:)clark also utter waste.,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0027,1,T0155,train,181,ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,hi! you just spoke to maneesha v. we'd like to know if you were satisfied with the experience. reply toll free with yes or no.,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0027,2,T2126,train,2645,ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,hi! you just spoke to maneesha v. we'd like to know if you were satisfied with the experience. reply toll free with yes or no.,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0027,3,T3043,train,3777,ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,hi! you just spoke to maneesha v. we'd like to know if you were satisfied with the experience. reply toll free with yes or no.,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0028,1,T0161,train,189,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call our customer service representative on freephone 0808 145 4742 between 9am-11pm as you have won a guaranteed £1000 cash or £5000 prize!,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0028,2,T0811,train,1003,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call our customer service representative on freephone 0808 145 4742 between 9am-11pm as you have won a guaranteed £1000 cash or £5000 prize!,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0028,3,T3230,train,4013,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call our customer service representative on freephone 0808 145 4742 between 9am-11pm as you have won a guaranteed £1000 cash or £5000 prize!,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0028,4,T3252,train,4043,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call our customer service representative on freephone 0808 145 4742 between 9am-11pm as you have won a guaranteed £1000 cash or £5000 prize!,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0029,1,T0166,train,196,ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,how are you doing? hope you've settled in for the new school year. just wishin you a gr8 day,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0029,2,T1893,train,2364,ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,how are you doing? hope you've settled in for the new school year. just wishin you a gr8 day,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0030,1,H0031,heldout,197,ham,Gud mrng dear hav a nice day,gud mrng dear hav a nice day,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0030,2,H0152,heldout,791,ham,Gud mrng dear hav a nice day,gud mrng dear hav a nice day,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0030,3,H0727,heldout,3734,ham,Gud mrng dear hav a nice day,gud mrng dear hav a nice day,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0031,1,T0167,train,198,ham,Did u got that persons story,did u got that persons story,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0031,2,T0535,train,656,ham,Did u got that persons story,did u got that persons story,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0031,3,T3725,train,4646,ham,Did u got that persons story,did u got that persons story,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0032,1,T0173,train,204,ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,your account has been refilled successfully by inr &lt;decimal&gt; . your keralacircle prepaid account balance is rs &lt;decimal&gt; . your transaction id is kr &lt;#&gt; .,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0032,2,T1179,train,1468,ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,your account has been refilled successfully by inr &lt;decimal&gt; . your keralacircle prepaid account balance is rs &lt;decimal&gt; . your transaction id is kr &lt;#&gt; .,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0033,1,T0185,train,219,ham,Easy ah?sen got selected means its good..,easy ah?sen got selected means its good..,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0033,2,T0843,train,1044,ham,Easy ah?sen got selected means its good..,easy ah?sen got selected means its good..,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0034,1,H0038,heldout,235,ham,Yes:)here tv is always available in work place..,yes:)here tv is always available in work place..,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0034,2,H0732,heldout,3758,ham,Yes:)here tv is always available in work place..,yes:)here tv is always available in work place..,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0035,1,H0040,heldout,240,ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!","new theory: argument wins d situation, but loses the person. so dont argue with ur friends just.. . . . kick them &amp; say, i'm always correct.!",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0035,2,H0223,heldout,1165,ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!","new theory: argument wins d situation, but loses the person. so dont argue with ur friends just.. . . . kick them &amp; say, i'm always correct.!",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0035,3,H0975,heldout,4885,ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!","new theory: argument wins d situation, but loses the person. so dont argue with ur friends just.. . . . kick them &amp; say, i'm always correct.!",scripts/audit_duplicates.py,duplicate-audit-v1.0
E0036,1,T0201,train,241,spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,u 447801259231 have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09058094597,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0036,2,T3494,train,4349,spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,u 447801259231 have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09058094597,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0037,1,T0209,train,251,spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,congratulations ur awarded 500 of cd vouchers or 125gift guaranteed & free entry 2 100 wkly draw txt music to 87066 tncs www.ldew.com1win150ppmx3age16,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0037,2,T0296,train,358,spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,congratulations ur awarded 500 of cd vouchers or 125gift guaranteed & free entry 2 100 wkly draw txt music to 87066 tncs www.ldew.com1win150ppmx3age16,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0038,1,T0210,train,252,ham,Ranjith cal drpd Deeraj and deepak 5min hold,ranjith cal drpd deeraj and deepak 5min hold,scripts/audit_duplicates.py,duplicate-audit-v1.0
E0038,2,T3585,train,4466,ham,Ranjith cal drpd Deeraj and deepak 5min hold,ranjith cal drpd deeraj and deepak 5min hold,scripts/audit_duplicates.py,duplicate-audit-v1.0
