id,split,uci_row_number,text,label
H0063,heldout,360,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday.",ham
H0064,heldout,361,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted",ham
H0065,heldout,376,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994",spam
H0066,heldout,377,Can you say what happen,ham
H0067,heldout,379,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,ham
H0068,heldout,384,Hey leave it. not a big deal:-) take care.,ham
H0069,heldout,385,Hey i will be late ah... Meet you at 945+,ham
H0070,heldout,388,Customer place i will call you.,ham
H0071,heldout,390,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,spam
H0072,heldout,391,Yup having my lunch buffet now.. U eat already?,ham
H0073,heldout,399,"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.",ham
H0074,heldout,412,Come by our room at some point so we can iron out the plan for this weekend,ham
H0075,heldout,413,Cos i want it to be your thing,ham
H0076,heldout,426,Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..,ham
H0077,heldout,432,At home watching tv lor.,ham
H0078,heldout,433,Does she usually take fifteen fucking minutes to respond to a yes or no question,ham
H0079,heldout,446,"""HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS, HOWU DOIN? FOUNDURSELF A JOBYET SAUSAGE?LOVE JEN XXX""",ham
H0080,heldout,448,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. ",ham
H0081,heldout,450,LOL ... Have you made plans for new years?,ham
H0082,heldout,455,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,ham
H0083,heldout,465,"Sorry, I'll call later ok bye",ham
H0084,heldout,470,"Yup, no need. I'll jus wait 4 e rain 2 stop.",ham
H0085,heldout,476,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:),ham
H0086,heldout,478,Love you aathi..love u lot..,ham
H0087,heldout,479,Tension ah?what machi?any problem?,ham
H0088,heldout,480,"K, can I pick up another 8th when you're done?",ham
H0089,heldout,482,"Almost there, see u in a sec",ham
H0090,heldout,485,Thank you baby! I cant wait to taste the real thing...,ham
H0091,heldout,489,Dear reached railway. What happen to you,ham
H0092,heldout,491,I think i've fixed it can you send a test message?,ham
H0093,heldout,503,When can ü come out?,ham
H0094,heldout,507,No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.,ham
H0095,heldout,508,"Maybe westshore or hyde park village, the place near my house?",ham
H0096,heldout,509,You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|,ham
H0097,heldout,512,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",ham
H0098,heldout,537,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea",ham
H0099,heldout,541,"I am in tirupur da, once you started from office call me.",ham
H0100,heldout,543,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'",ham
H0101,heldout,548,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin,ham
H0102,heldout,551,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.,ham
H0103,heldout,559,I know that my friend already told that.,ham
H0104,heldout,569,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already",ham
H0105,heldout,572,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...,ham
H0106,heldout,576,Nope i waiting in sch 4 daddy... ,ham
H0107,heldout,578,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",ham
H0108,heldout,581,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",ham
H0109,heldout,592,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",spam
H0110,heldout,594,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,spam
H0111,heldout,600,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,ham
H0112,heldout,605,Be happy there. I will come after noon,ham
H0113,heldout,615,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,ham
H0114,heldout,625,"sorry, no, have got few things to do. may be in pub later.",ham
H0115,heldout,626,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",ham
H0116,heldout,627,"Haha good to hear, I'm officially paid and on the market for an 8th",ham
H0117,heldout,641,I had askd u a question some hours before. Its answer,ham
H0118,heldout,643," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! ",ham
H0119,heldout,644,Probably gonna swing by in a wee bit,ham
H0120,heldout,650,No prob. I will send to your email.,ham
H0121,heldout,655,Fine i miss you very much.,ham
H0122,heldout,665,Leave it de:-). Start Prepare for next:-)..,ham
H0123,heldout,666,Yes baby! We can study all the positions of the kama sutra ;),ham
H0124,heldout,667,En chikku nange bakra msg kalstiya..then had tea/coffee?,ham
H0125,heldout,675,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.",ham
H0126,heldout,678,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? ,ham
H0127,heldout,679,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...",ham
H0128,heldout,682,What is this 'hex' place you talk of? Explain!,ham
H0129,heldout,684,Is xy going 4 e lunch?,ham
H0130,heldout,686,I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,ham
H0131,heldout,687,Have you finished work yet? :),ham
H0132,heldout,688,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8",ham
H0133,heldout,689,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.",ham
H0134,heldout,699,meet you in corporation st outside gap … you can see how my mind is working!,ham
H0135,heldout,705,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",ham
H0136,heldout,708,So when do you wanna gym harri,ham
H0137,heldout,711,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,spam
H0138,heldout,722,Oh is it? Send me the address,ham
H0139,heldout,724,That is wondar full flim.,ham
H0140,heldout,727,Got it! It looks scrumptious... daddy wants to eat you all night long!,ham
H0141,heldout,736,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh,ham
H0142,heldout,746,Men like shorter ladies. Gaze up into his eyes.,ham
H0143,heldout,752,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",spam
H0144,heldout,755,When did you get to the library,ham
H0145,heldout,761,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts",ham
H0146,heldout,762,"Romantic Paris. 2 nights, 2 flights from £79 Book now 4 next year. Call 08704439680Ts&Cs apply.",spam
H0147,heldout,770,I cant pick the phone right now. Pls send a message,ham
H0148,heldout,775,I wil be there with in  &lt;#&gt;  minutes. Got any space,ham
H0149,heldout,783,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?",ham
H0150,heldout,786,Dont think so. It turns off like randomlly within 5min of opening,ham
H0151,heldout,789,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),spam
H0152,heldout,791,Gud mrng dear hav a nice day,ham
H0153,heldout,798,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",spam
H0154,heldout,800,Ok i msg u b4 i leave my house.,ham
H0155,heldout,812,S:)s.nervous  &lt;#&gt; :),ham
H0156,heldout,813,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,ham
H0157,heldout,823,On the road so cant txt,ham
H0158,heldout,829,Hey. You got any mail?,ham
H0159,heldout,832,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,spam
H0160,heldout,834,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",spam
H0161,heldout,841,Last chance 2 claim ur £150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. £3.00 Sub. 16 . Remove txt X or STOP,spam
H0162,heldout,843,"Pls send me a comprehensive mail about who i'm paying, when and how much.",ham
H0163,heldout,847,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore,ham
H0164,heldout,854,No da if you run that it activate the full version da.,ham
H0165,heldout,857,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.,spam
H0166,heldout,865,Did u find out what time the bus is at coz i need to sort some stuff out.,ham
H0167,heldout,867,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net £1.50pm approx 3mins,spam
H0168,heldout,869,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,spam
H0169,heldout,877,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",spam
H0170,heldout,879,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone,spam
H0171,heldout,901,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",spam
H0172,heldout,905,Lovely smell on this bus and it ain't tobacco... ,ham
H0173,heldout,912,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you,ham
H0174,heldout,918,Was actually about to send you a reminder today. Have a wonderful weekend,ham
H0175,heldout,921,Dont talk to him ever ok its my word.,ham
H0176,heldout,925,She went to attend another two rounds today..but still did't reach home..,ham
H0177,heldout,935,What time you think you'll have it? Need to know when I should be near campus,ham
H0178,heldout,936,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or £1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.",spam
H0179,heldout,937,Then dun wear jeans lor...,ham
H0180,heldout,939,K:)k.are you in college?,ham
H0181,heldout,944,How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS),spam
H0182,heldout,955,Also remember to get dobby's bowl from your car,ham
H0183,heldout,958,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",ham
H0184,heldout,959,Welp apparently he retired,ham
H0185,heldout,965,Yo chad which gymnastics class do you wanna take? The site says Christians class is full..,ham
H0186,heldout,968,I am not sure about night menu. . . I know only about noon menu,ham
H0187,heldout,971,"It wont b until 2.15 as trying 2 sort house out, is that ok?",ham
H0188,heldout,979,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,ham
H0189,heldout,982,If he started searching he will get job in few days.he have great potential and talent.,ham
H0190,heldout,986,Yo guess what I just dropped,ham
H0191,heldout,988,I'm in office now . I will call you  &lt;#&gt;  min:),ham
H0192,heldout,999,Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been? ,ham
H0193,heldout,1005,&lt;#&gt;  am I think? Should say on syllabus,ham
H0194,heldout,1015,Just buy a pizza. Meat lovers or supreme. U get to pick.,ham
H0195,heldout,1017,"Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!",ham
H0196,heldout,1018,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam
H0197,heldout,1024,We still on for tonight?,ham
H0198,heldout,1025,May i call You later Pls,ham
H0199,heldout,1029,Are you not around or just still asleep? :V,ham
H0200,heldout,1033,Yup bathe liao...,ham
H0201,heldout,1043,I'm in class. Will holla later,ham
H0202,heldout,1059,Ard 515 like dat. Y?,ham
H0203,heldout,1067,No my mum went 2 dentist.,ham
H0204,heldout,1069,Meeting u is my work. . . Tel me when shall i do my work tomorrow,ham
H0205,heldout,1083,Can u get pic msgs to your phone?,ham
H0206,heldout,1088,I don't think he has spatula hands!,ham
H0207,heldout,1091,Goodmorning today i am late for  &lt;DECIMAL&gt; min.,ham
H0208,heldout,1101,Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.,ham
H0209,heldout,1103,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary",ham
H0210,heldout,1106,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,spam
H0211,heldout,1108,"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*",ham
H0212,heldout,1114,So that means you still think of teju,ham
H0213,heldout,1118,Hey... What time is your driving on fri? We go for evaluation on fri?,ham
H0214,heldout,1121,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16",spam
H0215,heldout,1123,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,spam
H0216,heldout,1125,Good morning princess! How are you?,ham
H0217,heldout,1130,Ur HMV Quiz cash-balance is currently £500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,spam
H0218,heldout,1132,Howz pain?hope u r fine..,ham
H0219,heldout,1134,Good morning princess! How are you?,ham
H0220,heldout,1151,Not a drop in the tank,ham
H0221,heldout,1160,Hey! There's veggie pizza... :/,ham
H0222,heldout,1161,Yun buying... But school got offer 2000 plus only...,ham
H0223,heldout,1165,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",ham
H0224,heldout,1168,I am not having her number sir,ham
H0225,heldout,1170,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,ham
H0226,heldout,1175,Ü dun need to pick ur gf?,ham
H0227,heldout,1181,To day class is there are no class.,ham
H0228,heldout,1189,There's no point hangin on to mr not right if he's not makin u happy,ham
H0229,heldout,1193,Come to my home for one last time i wont do anything. Trust me.,ham
H0230,heldout,1196,Ok... C ya...,ham
H0231,heldout,1197,You have 1 new voicemail. Please call 08719181503,spam
H0232,heldout,1202,Otherwise had part time job na-tuition..,ham
H0233,heldout,1229,So ü'll be submitting da project tmr rite?,ham
H0234,heldout,1230,FREE entry into our £250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.,spam
H0235,heldout,1231,Jus ans me lar. U'll noe later.,ham
H0236,heldout,1235,Lol ok. I'll snatch her purse too.,ham
H0237,heldout,1236,"""Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx""",ham
H0238,heldout,1238,How much are we getting?,ham
H0239,heldout,1241,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.,ham
H0240,heldout,1243,"I want to show you the world, princess :) how about europe?",ham
H0241,heldout,1257,Just wait till end of march when el nino gets himself. Oh.,ham
H0242,heldout,1272,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u..",ham
H0243,heldout,1275,network operator. The service is free. For T & C's visit 80488.biz,spam
H0244,heldout,1278,Can do lor...,ham
H0245,heldout,1280,Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor..,ham
H0246,heldout,1283,Am I the only one who doesn't stalk profiles?,ham
H0247,heldout,1286,But if she.s drinkin i'm ok.,ham
H0248,heldout,1289,"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?",ham
H0249,heldout,1299,"K so am I, how much for an 8th? Fifty?",ham
H0250,heldout,1302,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,ham
H0251,heldout,1303,I tot u reach liao. He said t-shirt.,ham
H0252,heldout,1305,I cant pick the phone right now. Pls send a message,ham
H0253,heldout,1307,Designation is software developer and may be she get chennai:),ham
H0254,heldout,1314,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,ham
H0255,heldout,1318,Why nothing. Ok anyway give me treat,ham
H0256,heldout,1325,I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?,ham
H0257,heldout,1330,My exam is for february 4. Wish you a great day.,ham
H0258,heldout,1336,"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*",ham
H0259,heldout,1339,Then she buying today? Ü no need to c meh...,ham
H0260,heldout,1343,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay,ham
H0261,heldout,1346,Were somewhere on Fredericksburg,ham
H0262,heldout,1347,Que pases un buen tiempo or something like that,ham
H0263,heldout,1352,Bugis oso near wat... ,ham
H0264,heldout,1353,Yo theres no class tmrw right?,ham
H0265,heldout,1362,Yo dude guess who just got arrested the other day,ham
H0266,heldout,1367,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",spam
H0267,heldout,1368,Bbq this sat at mine from 6ish. Ur welcome 2 come,ham
H0268,heldout,1379,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,spam
H0269,heldout,1380,"Ya tel, wats ur problem..",ham
H0270,heldout,1386,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@",ham
H0271,heldout,1391,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",ham
H0272,heldout,1393,"Haha just kidding, papa needs drugs",ham
H0273,heldout,1394,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",ham
H0274,heldout,1396,R we still meeting 4 dinner tonight?,ham
H0275,heldout,1399,Then we wait 4 u lor... No need 2 feel bad lar...,ham
H0276,heldout,1402,"No, I decided that only people who care about stuff vote and caring about stuff is for losers",ham
H0277,heldout,1407,K..k..any special today?,ham
H0278,heldout,1410,"I've got ten bucks, jay is being noncomittal",ham
H0279,heldout,1418,No..few hours before.went to hair cut .,ham
H0280,heldout,1421,"""Speak only when you feel your words are better than the silence..."" Gud mrng:-)",ham
H0281,heldout,1425,Lol great now im getting hungry.,ham
H0282,heldout,1427,I'll be at mu in like  &lt;#&gt;  seconds,ham
H0283,heldout,1432,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,ham
H0284,heldout,1442,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: ""GOODMORNING &amp; HAVE A NICE DAY"" :)",ham
H0285,heldout,1447,I am in a marriage function,ham
H0286,heldout,1449,Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!,ham
H0287,heldout,1459,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA,spam
H0288,heldout,1464,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!",spam
H0289,heldout,1467,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+",spam
H0290,heldout,1469,I wont touch you with out your permission.,ham
H0291,heldout,1472,Take some small dose tablet for fever,ham
H0292,heldout,1481,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.,ham
H0293,heldout,1488,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea",ham
H0294,heldout,1491,Ok i juz receive..,ham
H0295,heldout,1506,Oh my God. I'm almost home,ham
H0296,heldout,1522,"URGENT! Your Mobile No was awarded a £2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate",spam
H0297,heldout,1531,Should I have picked up a receipt or something earlier,ham
H0298,heldout,1532,I think chennai well settled?,ham
H0299,heldout,1535,Horrible bf... I now v hungry...,ham
H0300,heldout,1558,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),ham
H0301,heldout,1560,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side,ham
H0302,heldout,1563,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.,ham
H0303,heldout,1564,Dude just saw a parked car with its sunroof popped up. Sux,ham
H0304,heldout,1565,Get ready to put on your excellent sub face :),ham
H0305,heldout,1566,Tmrw. Im finishing 9 doors,ham
