heldout_id,label,uci_row_number,leakage_type,severity,n_exact_train_partners,n_near_train_partners,n_total_train_partners,train_partner_ids,exact_cluster_ids,near_pair_ids,review_categories,max_similarity,word_pred,char_pred,word_p_spam,char_p_spam,text
H0196,spam,1018,near_reviewed_accepted,medium_high,0,2,2,T0650|T4113,,N0114|N0147,same_spam_campaign_template,0.925431904802045,spam,spam,0.9646840292611976,0.9820158479960888,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
H0207,ham,1091,near_reviewed_accepted,medium,0,1,1,T1606,,N0153,minor_personalization_change,1.0,ham,ham,0.0193113849932284,0.0059910829999279,Goodmorning today i am late for  &lt;DECIMAL&gt; min.
H0210,spam,1106,near_reviewed_accepted,medium_high,0,2,2,T1131|T3445,,N0158|N0159,same_spam_campaign_template,0.9518461561422614,spam,spam,0.7869212275167492,0.8595626311997709,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you
H0215,spam,1123,near_reviewed_accepted,medium_high,0,1,1,T2812,,N0160,same_spam_campaign_template,0.9849674248536204,spam,spam,0.9007797402706548,0.9753116805108576,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow
H0266,spam,1367,near_reviewed_accepted,medium_high,0,2,2,T1209|T2403,,N0184|N0185,same_spam_campaign_template,0.9222468765339176,spam,spam,0.7629018101224043,0.8444811678060876,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
H0288,spam,1464,near_reviewed_accepted,medium_high,0,1,1,T1769,,N0200,same_spam_campaign_template,0.939345983417765,spam,spam,0.9096478938916276,0.9084406409556276,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!"
H0311,spam,1599,near_reviewed_accepted,medium_high,0,2,2,T0885|T4223,,N0154|N0221,same_spam_campaign_template,0.9917365624949894,spam,spam,0.9642912695708176,0.9970170349415892,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
H0316,spam,1624,near_reviewed_accepted,medium_high,0,1,1,T0710,,N0131,same_spam_campaign_template,0.9372936846687971,spam,spam,0.8512219104058056,0.8192110296062319,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
H0329,spam,1674,near_reviewed_accepted,medium_high,0,1,1,T2871,,N0230,same_spam_campaign_template,0.922325173320112,spam,spam,0.9672520845244644,0.973306509000206,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only
H0373,spam,1881,near_reviewed_accepted,medium_high,0,4,4,T0201|T0710|T3494|T3676,,N0030|N0132|N0248|N0249,same_spam_campaign_template,0.978345534729327,spam,spam,0.8512219104058056,0.8172276919362376,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
H0378,spam,1905,near_reviewed_accepted,medium_high,0,1,1,T4156,,N0251,same_spam_campaign_template,0.9943383372322006,spam,spam,0.944632745713665,0.9293710544063912,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
H0440,spam,2210,near_reviewed_accepted,medium_high,0,2,2,T1558|T3462,,N0261|N0285,same_spam_campaign_template,0.9232009124035072,spam,spam,0.8448885204597181,0.928381119486156,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
H0445,spam,2221,near_reviewed_accepted,medium_high,0,2,2,T0583|T4014,,N0106|N0288,same_spam_campaign_template,1.0,spam,spam,0.9906550421640752,0.9959802953094268,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p
H0451,spam,2251,near_reviewed_accepted,medium_high,0,1,1,T1780,,N0289,same_spam_campaign_template,1.0000000000000002,spam,spam,0.9327737762418647,0.9824614536660032,"Thanks for your ringtone order, ref number R836. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069154"
H0470,spam,2355,near_reviewed_accepted,medium_high,0,4,4,T0558|T1013|T2733|T3460,,N0099|N0162|N0314|N0315,same_spam_campaign_template,1.0,spam,spam,0.8084335368406114,0.7959133235835232,Please CALL 08712402902 immediately as there is an urgent message waiting for you.
H0507,ham,2569,near_reviewed_accepted,medium,0,1,1,T4417,,N0327,minor_personalization_change,0.978107304010672,ham,ham,0.0381568700688499,0.0104570295132819,I dont want to hear anything
H0561,spam,2872,near_reviewed_accepted,medium_high,0,1,1,T2298,,N0350,same_spam_campaign_template,1.0,spam,spam,0.8911778463252558,0.9119663577373414,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call."
H0589,spam,2981,near_reviewed_accepted,medium_high,0,1,1,T0304,,N0068,same_spam_campaign_template,0.9639921154284934,spam,spam,0.9590049015023268,0.9656092446496084,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2"
H0610,spam,3124,near_reviewed_accepted,medium_high,0,1,1,T4156,,N0364,same_spam_campaign_template,0.9943383372322006,spam,spam,0.944632745713665,0.9293710544063912,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
H0620,spam,3168,near_reviewed_accepted,medium_high,0,2,2,T1209|T2403,,N0211|N0356,same_spam_campaign_template,0.9222468765339176,spam,spam,0.7629018101224043,0.8444811678060876,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
H0632,spam,3223,near_reviewed_accepted,medium_high,0,1,1,T3256,,N0376,same_spam_campaign_template,0.9289007824233358,spam,spam,0.9068968738510363,0.9676017930088844,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180"
H0644,spam,3291,near_reviewed_accepted,medium_high,0,3,3,T2769|T3805|T4291,,N0382|N0383|N0384,same_spam_campaign_template,1.0000000000000002,spam,spam,0.8153123657173571,0.8618506833544343,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days
H0645,spam,3300,near_reviewed_accepted,medium_high,0,1,1,T2413,,N0358,same_spam_campaign_template,1.0,spam,spam,0.9854203521649532,0.9884534026414048,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only
H0663,spam,3410,near_reviewed_accepted,medium_high,0,2,2,T2627|T4064,,N0378|N0392,same_spam_campaign_template,1.0,spam,spam,0.8932179740827518,0.985063663727254,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705
H0727,ham,3734,near_reviewed_accepted,medium,0,1,1,T0488,,N0092,minor_personalization_change,0.9227336540787052,ham,ham,0.013327499347154,0.0176983598517531,Gud mrng dear hav a nice day
H0733,spam,3764,near_reviewed_accepted,medium_high,0,2,2,T0650|T4113,,N0115|N0405,same_spam_campaign_template,0.925431904802045,spam,spam,0.9646840292611976,0.9820158479960888,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
H0738,spam,3802,near_reviewed_accepted,medium_high,0,1,1,T0218,,N0033,same_spam_campaign_template,0.9957873344954142,spam,spam,0.9423246205969048,0.9610587365918022,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
H0765,spam,3892,near_reviewed_accepted,medium_high,0,1,1,T2328,,N0351,same_spam_campaign_template,0.954780867402152,spam,spam,0.9095781556266708,0.9419381409275028,"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8"
H0767,spam,3898,near_reviewed_accepted,medium_high,0,1,1,T1548,,N0260,same_spam_campaign_template,0.9804405165275172,spam,spam,0.8759243017482037,0.8922815320831095,tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
H0778,spam,3964,near_reviewed_accepted,medium_high,0,1,1,T0484,,N0087,same_spam_campaign_template,0.9764913119777406,spam,spam,0.903736034626596,0.9468200555382478,"You have been specially selected to receive a ""3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo"
H0804,spam,4105,near_reviewed_accepted,medium_high,0,1,1,T0710,,N0133,same_spam_campaign_template,0.9372936846687971,spam,spam,0.8512219104058056,0.8192110296062319,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
H0805,spam,4113,near_reviewed_accepted,medium_high,0,1,1,T4223,,N0422,same_spam_campaign_template,0.9269514714249442,spam,spam,0.9682465242459704,0.9965474314636188,URGENT! Your Mobile number has been awarded a <UKP>2000 prize GUARANTEED. Call 09061790125 from landline. Claim 3030. Valid 12hrs only 150ppm
H0815,spam,4155,near_reviewed_accepted,medium_high,0,2,2,T1558|T3462,,N0262|N0423,same_spam_campaign_template,0.9232009124035072,spam,spam,0.8448885204597181,0.928381119486156,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
H0821,spam,4199,near_reviewed_accepted,medium_high,0,2,2,T0650|T4113,,N0116|N0427,same_spam_campaign_template,0.925431904802045,spam,spam,0.9646840292611976,0.9820158479960888,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
H0853,ham,4345,near_reviewed_accepted,medium,0,1,1,T0501,,N0093,minor_personalization_change,0.9744422997708552,ham,ham,0.0410218535144728,0.051096351182126,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?
H0867,spam,4387,near_reviewed_accepted,medium_high,0,1,1,T2901,,N0398,same_spam_campaign_template,0.9854838705662544,spam,spam,0.945929383246534,0.9900788710130451,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705
H0908,spam,4579,near_reviewed_accepted,medium_high,0,1,1,T4439,,N0434,same_spam_campaign_template,1.000000000000001,spam,spam,0.8662088508082292,0.902938247980746,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records"
H0926,ham,4676,near_reviewed_accepted,medium,0,1,1,T0133,,N0017,minor_personalization_change,1.0,ham,ham,0.0295037707594135,0.0057332462363115,I'm leaving my house now.
H0940,ham,4735,near_reviewed_accepted,medium,0,2,2,T0677|T2608,,N0124|N0377,minor_personalization_change,0.9515864571237396,ham,ham,0.009624258360451,0.0036421111331148,Good Morning my Dear Shijutta........... Have a great &amp; successful day.
H0945,spam,4760,near_reviewed_accepted,medium_high,0,2,2,T0885|T4223,,N0156|N0439,same_spam_campaign_template,0.9917365624949894,spam,spam,0.9642912695708176,0.9970170349415892,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
H0959,ham,4826,near_reviewed_accepted,medium,0,1,1,T2628,,N0380,minor_personalization_change,0.9588003813304682,ham,ham,0.008728324588275,0.0109605035332967,Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?
H0973,spam,4878,near_reviewed_accepted,medium_high,0,2,2,T0140|T4035,,N0018|N0444,same_spam_campaign_template,0.9657474259165536,spam,spam,0.8850339263191866,0.8334180910431473,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468
H0988,spam,4968,near_reviewed_accepted,medium_high,0,1,1,T2590,,N0375,same_spam_campaign_template,0.95035746613753,spam,spam,0.948533499517623,0.9690017706259592,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only
H1003,spam,5028,near_reviewed_accepted,medium_high,0,1,1,T1269,,N0217,same_spam_campaign_template,0.9716129274751936,spam,spam,0.8966943706557023,0.961685013867034,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL
H1030,spam,5140,near_reviewed_accepted,medium_high,0,2,2,T1558|T3462,,N0263|N0431,same_spam_campaign_template,0.9332448364321472,spam,spam,0.8441693902252951,0.90693145137025,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
H1038,spam,5204,near_reviewed_accepted,medium_high,0,2,2,T1558|T3462,,N0264|N0432,same_spam_campaign_template,0.9332448364321472,spam,spam,0.8441693902252951,0.90693145137025,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
H1063,spam,5297,near_reviewed_accepted,medium_high,0,1,1,T3075,,N0406,same_spam_campaign_template,0.9652591568715388,spam,spam,0.941749403452642,0.9787775041243836,XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription 
H1090,spam,5430,near_reviewed_accepted,medium_high,0,1,1,T3844,,N0440,same_spam_campaign_template,0.9296198266601192,spam,spam,0.667615822319765,0.6445753640047955,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.
H1108,spam,5529,near_reviewed_accepted,medium_high,0,1,1,T0435,,N0086,same_spam_campaign_template,0.9301352272921812,spam,spam,0.905244126709888,0.9236278360021574,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04
