case_id,match_type,heldout_id,train_id,heldout_label,train_label,label_conflict,heldout_uci_row_number,train_uci_row_number,cluster_id,pair_id,word_cosine,char_cosine,max_cosine,review_decision,review_category,confidence,heldout_text,train_text,source_script,method_version
L_NEAR_N0023,near_reviewed_accepted,H0031,T0488,ham,ham,False,197,598,,N0023,0.6793876955545235,0.9227336540787052,0.9227336540787052,accepted,minor_personalization_change,medium,Gud mrng dear hav a nice day,Gud mrng dear have a nice day,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0094,near_reviewed_accepted,H0114,T0998,ham,ham,False,625,1233,,N0094,0.9791172707008864,0.8268631012320333,0.9791172707008864,accepted,minor_personalization_change,medium,"sorry, no, have got few things to do. may be in pub later.",have got * few things to do. may be in * pub later.,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0102,near_reviewed_accepted,H0136,T4269,ham,ham,False,708,5341,,N0102,1.0000000000000002,0.5980691501929662,1.0000000000000002,accepted,minor_personalization_change,medium,So when do you wanna gym harri,So when do you wanna gym?,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0091,near_reviewed_accepted,H0152,T0488,ham,ham,False,791,598,,N0091,0.6793876955545235,0.9227336540787052,0.9227336540787052,accepted,minor_personalization_change,medium,Gud mrng dear hav a nice day,Gud mrng dear have a nice day,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0080,near_reviewed_accepted,H0153,T0382,spam,spam,False,798,464,,N0080,0.9578467972911489,0.8432895214872309,0.9578467972911489,accepted,same_spam_campaign_template,high,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa","UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available",scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0096,near_reviewed_accepted,H0160,T0520,spam,spam,False,834,636,,N0096,0.8694035829024152,0.9464739543407517,0.9464739543407517,accepted,same_spam_campaign_template,high,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062","Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0129,near_reviewed_accepted,H0168,T1285,spam,spam,False,869,1595,,N0129,0.9828757358277002,0.922508097850496,0.9828757358277002,accepted,same_spam_campaign_template,high,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0114,near_reviewed_accepted,H0196,T0650,spam,spam,False,1018,804,,N0114,0.8345198806522724,0.925431904802045,0.925431904802045,accepted,same_spam_campaign_template,high,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0147,near_reviewed_accepted,H0196,T4113,spam,spam,False,1018,5144,,N0147,0.8345198806522724,0.925431904802045,0.925431904802045,accepted,same_spam_campaign_template,high,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0153,near_reviewed_accepted,H0207,T1606,ham,ham,False,1091,2006,,N0153,1.0,0.9599381468747332,1.0,accepted,minor_personalization_change,medium,Goodmorning today i am late for  &lt;DECIMAL&gt; min.,"Goodmorning, today i am late for  &lt;DECIMAL&gt; min.",scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0158,near_reviewed_accepted,H0210,T1131,spam,spam,False,1106,1408,,N0158,0.9488538511596372,0.9518461561422614,0.9518461561422614,accepted,same_spam_campaign_template,high,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0159,near_reviewed_accepted,H0210,T3445,spam,spam,False,1106,4281,,N0159,0.9136208490879808,0.9400651629510348,0.9400651629510348,accepted,same_spam_campaign_template,high,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !",scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0160,near_reviewed_accepted,H0215,T2812,spam,spam,False,1123,3484,,N0160,0.8699142566403876,0.9849674248536204,0.9849674248536204,accepted,same_spam_campaign_template,high,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0184,near_reviewed_accepted,H0266,T1209,spam,spam,False,1367,1503,,N0184,0.9222468765339176,0.8787692233598282,0.9222468765339176,accepted,same_spam_campaign_template,high,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k","HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0185,near_reviewed_accepted,H0266,T2403,spam,spam,False,1367,2993,,N0185,0.9222468765339176,0.8787692233598282,0.9222468765339176,accepted,same_spam_campaign_template,high,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k","HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0200,near_reviewed_accepted,H0288,T1769,spam,spam,False,1464,2208,,N0200,0.939345983417765,0.8859599382843732,0.939345983417765,accepted,same_spam_campaign_template,high,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!","URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM",scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0154,near_reviewed_accepted,H0311,T0885,spam,spam,False,1599,1092,,N0154,0.9917365624949894,0.9518672494859892,0.9917365624949894,accepted,same_spam_campaign_template,high,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,WIN URGENT! Your mobile number has been awarded with a £2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm ,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0221,near_reviewed_accepted,H0311,T4223,spam,spam,False,1599,5281,,N0221,0.9388886840529624,0.9728453920259112,0.9728453920259112,accepted,same_spam_campaign_template,high,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0131,near_reviewed_accepted,H0316,T0710,spam,spam,False,1624,880,,N0131,0.9372936846687971,0.921766981064534,0.9372936846687971,accepted,same_spam_campaign_template,high,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0230,near_reviewed_accepted,H0329,T2871,spam,spam,False,1674,3561,,N0230,0.922325173320112,0.7719817690205594,0.922325173320112,accepted,same_spam_campaign_template,high,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,URGENT! We are trying to contact U Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0030,near_reviewed_accepted,H0373,T0201,spam,spam,False,1881,241,,N0030,0.9209533428520356,0.8562009574472264,0.9209533428520356,accepted,same_spam_campaign_template,high,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0132,near_reviewed_accepted,H0373,T0710,spam,spam,False,1881,880,,N0132,0.978345534729327,0.9433633913259932,0.978345534729327,accepted,same_spam_campaign_template,high,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0248,near_reviewed_accepted,H0373,T3494,spam,spam,False,1881,4349,,N0248,0.9209533428520356,0.8562009574472264,0.9209533428520356,accepted,same_spam_campaign_template,high,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0249,near_reviewed_accepted,H0373,T3676,spam,spam,False,1881,4587,,N0249,0.9209533428520356,0.6824814833981727,0.9209533428520356,accepted,same_spam_campaign_template,high,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0251,near_reviewed_accepted,H0378,T4156,spam,spam,False,1905,5192,,N0251,0.9868148682100556,0.9943383372322006,0.9943383372322006,accepted,same_spam_campaign_template,high,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0261,near_reviewed_accepted,H0440,T1558,spam,spam,False,2210,1943,,N0261,0.8580915647424027,0.9232009124035072,0.9232009124035072,accepted,same_spam_campaign_template,high,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins","WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0285,near_reviewed_accepted,H0440,T3462,spam,spam,False,2210,4300,,N0285,0.8580915647424027,0.9232009124035072,0.9232009124035072,accepted,same_spam_campaign_template,high,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins","WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0106,near_reviewed_accepted,H0445,T0583,spam,spam,False,2221,720,,N0106,0.9441959174681276,0.9485796659614448,0.9485796659614448,accepted,same_spam_campaign_template,high,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0288,near_reviewed_accepted,H0445,T4014,spam,spam,False,2221,5013,,N0288,1.0,0.9565562200487602,1.0,accepted,same_spam_campaign_template,high,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0289,near_reviewed_accepted,H0451,T1780,spam,spam,False,2251,2225,,N0289,1.0000000000000002,0.957923193094437,1.0000000000000002,accepted,same_spam_campaign_template,high,"Thanks for your ringtone order, ref number R836. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069154","Thanks for your ringtone order, ref number K718. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069120",scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0099,near_reviewed_accepted,H0470,T0558,spam,spam,False,2355,691,,N0099,0.9227226254852662,0.7372684570771584,0.9227226254852662,accepted,same_spam_campaign_template,high,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0162,near_reviewed_accepted,H0470,T1013,spam,spam,False,2355,1253,,N0162,1.0,0.9091207850412342,1.0,accepted,same_spam_campaign_template,high,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,Please CALL 08712402779 immediately as there is an urgent message waiting for you,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0314,near_reviewed_accepted,H0470,T2733,spam,spam,False,2355,3392,,N0314,1.0,0.942497051808504,1.0,accepted,same_spam_campaign_template,high,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,Please CALL 08712402972 immediately as there is an urgent message waiting for you,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0315,near_reviewed_accepted,H0470,T3460,spam,spam,False,2355,4298,,N0315,1.0,0.8939073195729491,1.0,accepted,same_spam_campaign_template,high,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,Please CALL 08712402578 immediately as there is an urgent message waiting for you,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0327,near_reviewed_accepted,H0507,T4417,ham,ham,False,2569,5523,,N0327,0.978107304010672,0.9157847211631076,0.978107304010672,accepted,minor_personalization_change,medium,I dont want to hear anything,No. I dont want to hear anything,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0347,near_reviewed_accepted,H0548,T4090,spam,spam,False,2809,5115,,N0347,0.9639600589758156,0.9966777127723276,0.9966777127723276,accepted,same_spam_campaign_template,high,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 ,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 ,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0350,near_reviewed_accepted,H0561,T2298,spam,spam,False,2872,2851,,N0350,1.0,0.986825312790648,1.0,accepted,same_spam_campaign_template,high,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.","YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call",scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0068,near_reviewed_accepted,H0589,T0304,spam,spam,False,2981,368,,N0068,0.9639921154284934,0.9180430885471136,0.9639921154284934,accepted,same_spam_campaign_template,high,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2","Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0364,near_reviewed_accepted,H0610,T4156,spam,spam,False,3124,5192,,N0364,0.9868148682100556,0.9943383372322006,0.9943383372322006,accepted,same_spam_campaign_template,high,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0211,near_reviewed_accepted,H0620,T1209,spam,spam,False,3168,1503,,N0211,0.9222468765339176,0.8787692233598282,0.9222468765339176,accepted,same_spam_campaign_template,high,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k","HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0356,near_reviewed_accepted,H0620,T2403,spam,spam,False,3168,2993,,N0356,0.9222468765339176,0.8787692233598282,0.9222468765339176,accepted,same_spam_campaign_template,high,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k","HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0376,near_reviewed_accepted,H0632,T3256,spam,spam,False,3223,4049,,N0376,0.906845457891872,0.9289007824233358,0.9289007824233358,accepted,same_spam_campaign_template,high,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180","Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182",scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0382,near_reviewed_accepted,H0644,T2769,spam,spam,False,3291,3434,,N0382,1.0000000000000002,0.979042334588663,1.0000000000000002,accepted,same_spam_campaign_template,high,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0383,near_reviewed_accepted,H0644,T3805,spam,spam,False,3291,4747,,N0383,1.0000000000000002,0.979042334588663,1.0000000000000002,accepted,same_spam_campaign_template,high,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0384,near_reviewed_accepted,H0644,T4291,spam,spam,False,3291,5368,,N0384,1.0000000000000002,0.979042334588663,1.0000000000000002,accepted,same_spam_campaign_template,high,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0358,near_reviewed_accepted,H0645,T2413,spam,spam,False,3300,3003,,N0358,1.0,0.951518177804524,1.0,accepted,same_spam_campaign_template,high,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0378,near_reviewed_accepted,H0663,T2627,spam,spam,False,3410,3267,,N0378,1.0,0.894704250954387,1.0,accepted,same_spam_campaign_template,high,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.",scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0392,near_reviewed_accepted,H0663,T4064,spam,spam,False,3410,5080,,N0392,1.0,0.9714802979067496,1.0,accepted,same_spam_campaign_template,high,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0092,near_reviewed_accepted,H0727,T0488,ham,ham,False,3734,598,,N0092,0.6793876955545235,0.9227336540787052,0.9227336540787052,accepted,minor_personalization_change,medium,Gud mrng dear hav a nice day,Gud mrng dear have a nice day,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0115,near_reviewed_accepted,H0733,T0650,spam,spam,False,3764,804,,N0115,0.8345198806522724,0.925431904802045,0.925431904802045,accepted,same_spam_campaign_template,high,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,scripts/audit_leakage.py,leakage-audit-v1.1
L_NEAR_N0405,near_reviewed_accepted,H0733,T4113,spam,spam,False,3764,5144,,N0405,0.8345198806522724,0.925431904802045,0.925431904802045,accepted,same_spam_campaign_template,high,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,scripts/audit_leakage.py,leakage-audit-v1.1
