id,split,issue_type,rank,confidence,evidence_1,evidence_2,recommended_action,short_explanation
H0044,heldout,shortcut,34,high,shallow_p_spam=0.088;shallow_pred=ham,full_text_p_spam=0.961;full_text_pred=spam;label=spam,retain_for_shortcut_stress_test,"The shallow model misses a ringtone-club solicitation because it lacks the usual numeric cues, while the full text model predicts spam."
H0287,heldout,shortcut,35,high,shallow_p_spam=0.997;shallow_pred=spam,full_text_p_spam=0.305;full_text_pred=ham;label=spam,retain_for_shortcut_stress_test,"A premium-rate adult-chat lure is detected almost entirely by phone, price, and contact markers while the full text model misses it."
H0318,heldout,shortcut,36,high,shallow_p_spam=1.000;shallow_pred=spam,full_text_p_spam=0.455;full_text_pred=ham;label=spam,retain_for_shortcut_stress_test,Premium-price and reply markers drive the shallow spam probability to approximately 1.0 even though the text model is below threshold.
H0891,heldout,shortcut,37,high,shallow_p_spam=0.026;shallow_pred=ham,full_text_p_spam=0.797;full_text_pred=spam;label=spam,retain_for_shortcut_stress_test,"A mobile-club offer is a shallow-model false negative, showing that contact/digit rules do not cover all spam templates."
H0946,heldout,shortcut,38,high,shallow_p_spam=0.991;shallow_pred=spam,full_text_p_spam=0.028;full_text_pred=ham;label=ham,retain_for_shortcut_stress_test,"The shallow model predicts spam at 0.991 because of price and digits, while the full text model predicts ham; monetary cues cause a clear false positive."
H0491,heldout,shortcut,39,medium,shallow_p_spam=0.900;shallow_pred=spam,full_text_p_spam=0.046;full_text_pred=ham;label=ham,retain_for_shortcut_stress_test,Recruitment language plus contact details produces a 0.900 shallow spam score although the public label and text model are ham.
H0896,heldout,shortcut,40,medium,shallow_p_spam=0.013;shallow_pred=ham,full_text_p_spam=0.105;full_text_pred=ham;label=spam,retain_for_shortcut_stress_test,"A spam-labelled recipient reply has almost no shallow spam markers, demonstrating how surface cues interact with likely label noise."
H0949,heldout,shortcut,41,medium,shallow_p_spam=0.632;shallow_pred=spam,full_text_p_spam=0.444;full_text_pred=ham;label=ham,retain_for_shortcut_stress_test,"URL and free-SMS language push the shallow model toward spam on a public ham label, exposing a policy-sensitive shortcut."
H0949,heldout,ambiguous,42,medium,word_p_spam=0.444;char_p_spam=0.481;label=ham,policy_review=A contact-list invitation advertises a free-SMS website but may be generated by a known contact; consent and sender context are unavailable.,clarify_social_invitation_policy,A contact-list invitation advertises a free-SMS website but may be generated by a known contact; consent and sender context are unavailable.
T0702,train,ambiguous,43,medium,word_p_spam=0.051;char_p_spam=0.043;label=spam,"policy_review=Product-trial recruitment requests address and date of birth, but could be an expected research invitation or unsolicited promotion.",clarify_recruitment_policy,"Product-trial recruitment requests address and date of birth, but could be an expected research invitation or unsolicited promotion."
T1020,train,ambiguous,44,medium,word_p_spam=0.504;char_p_spam=0.716;label=ham,"policy_review=A job-description delivery notice may be an expected recruiter follow-up, while the generic contact wording resembles bulk recruitment messaging.",clarify_recruitment_followup_policy,"A job-description delivery notice may be an expected recruiter follow-up, while the generic contact wording resembles bulk recruitment messaging."
T2139,train,ambiguous,45,medium,word_p_spam=0.016;char_p_spam=0.011;label=spam,policy_review=The message could be personal flirting or an unsolicited adult-chat lure; no explicit price or service identifier resolves the sender relationship.,clarify_adult_chat_policy,The message could be personal flirting or an unsolicited adult-chat lure; no explicit price or service identifier resolves the sender relationship.
T2710,train,ambiguous,46,medium,word_p_spam=0.071;char_p_spam=0.026;label=spam,policy_review=The text resembles a personal missed-call follow-up but includes a 070 number often used in premium-rate lures; sender context is unavailable.,clarify_premium_number_policy,The text resembles a personal missed-call follow-up but includes a 070 number often used in premium-rate lures; sender context is unavailable.
T2847,train,ambiguous,47,medium,word_p_spam=0.248;char_p_spam=0.155;label=spam,policy_review=A club ticket-sale notice may be expected by members or unsolicited commercial advertising; relationship context is missing.,clarify_membership_notice_policy,A club ticket-sale notice may be expected by members or unsolicited commercial advertising; relationship context is missing.
T3981,train,ambiguous,48,medium,word_p_spam=0.376;char_p_spam=0.189;label=spam,policy_review=A charity donation call-to-action is promotional and billable but socially legitimate; the corpus policy does not state whether opt-in charity campaigns count as spam.,clarify_charity_campaign_policy,A charity donation call-to-action is promotional and billable but socially legitimate; the corpus policy does not state whether opt-in charity campaigns count as spam.
H0531,heldout,near_duplicate,49,low,paired_id=T2085;word_cos=1.0000;char_cos=0.8628,Rejected as leakage: a very short generic acknowledgement can recur independently.,retain_as_rejected_candidate,"Similarity crosses the numeric threshold, but manual comparison rejects a shared-source claim."
H0850,heldout,near_duplicate,50,low,paired_id=T1881;word_cos=1.0000;char_cos=0.7307,Rejected: word TF-IDF ignores the semantic reversal between 'affectionate' and 'hostile'.,retain_as_rejected_candidate,"Similarity crosses the numeric threshold, but manual comparison rejects a shared-source claim."
H0935,heldout,ambiguous,51,low,word_p_spam=0.435;char_p_spam=0.527;label=ham,policy_review=The short statement about liking a mobile triggered model uncertainty but is plainly compatible with ordinary ham; uncertainty is not semantic ambiguity.,keep_original_label,The short statement about liking a mobile triggered model uncertainty but is plainly compatible with ordinary ham; uncertainty is not semantic ambiguity.
